Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.1382509620064391,0.00029284494853020176,0.7856006823880969,0.1332420853864335,70.0575691763332,0.23790788186605738,0.9601868532094928,0.08694832867621949,0.0007908085038154103,0.0003962793911068867,0.1382509620064391,0.00029284494853020176,70.0575691763332,0.23790788186605738,24.278014164642393,0.09716940309499904,-999,43.3258978869012,42
1,X,281,0.13281656300521563,0.0002128302936786078,0.5000010609544264,0.2705653343537296,79.04821173821588,0.23178452604710031,0.9991134636350244,0.0004901321861071062,0.0007100259905405011,0.00037211131218131905,0.13281656300521563,0.0002128302936786078,79.04821173821588,0.23178452604710031,26.316869157648377,0.08793755952227239,-999,62.99257533460454,42
1,X,872,0.13447143977037726,0.00024039677935687223,0.8999999976266091,0.05204274824037547,77.35204273689834,0.24429585566741707,1.0932069338950483,0.05239353113641532,0.0019428550487178959,0.00038653748176890613,0.13447143977037726,0.00024039677935687223,77.35204273689834,0.24429585566741707,26.07304632024437,0.09462171024552762,-999,54.045026233787524,42
1,X,1783,0.13176293154884788,0.00024062409981301857,0.6837221243006754,0.3020563314158554,79.94870486989406,0.2500505891028695,0.9957448699982049,0.013189077941900884,0.0016038901607032246,0.00036679293659443423,0.13176293154884788,0.00024062409981301857,79.94870486989406,0.2500505891028695,26.40551339053573,0.0956342175034571,-999,60.23523023747209,42
1,X,2063,0.13209614997019267,0.000216862985442127,0.8999740792792171,0.015698602404673856,79.34496951646902,0.2261036922843047,0.9978993244472324,0.05704798291637653,0.0016456551126294097,0.00034089496282359793,0.13209614997019267,0.000216862985442127,79.34496951646902,0.2261036922843047,26.272384521593608,0.0864021207961568,-999,60.15328021442224,42
1,X,sum,10.032035114890455,361.8987336572666,0.7996086567002281,0.20406161241911358,-1.3281920834467953,1.8089206504583066,0.07116388555115405,1.211987482112609,0.029363254314513074,22.74477494775825,10.032035114890455,361.8987336572666,-1.3281920834467953,1.8089206504583066,-33.399492295101226,1205.7219720590158,-999,3.6711960081793046e-05,42
10,Y,41,0.13216435854273859,0.0002732997708094674,0.815401979202108,0.07678220731226293,74.05978351375938,0.24984693587659024,0.9147537214055403,0.12076293663486676,-0.0018609206783366872,0.000373491340124046,0.13216435854273859,0.0002732997708094674,74.05978351375938,0.24984693587659024,24.535037429627486,0.09708310524671437,-999,58.17284685641059,42
10,Y,281,0.12245809353137412,0.00021522027305115454,0.5685953059921609,0.07903791720828385,82.5125669502341,0.25293354843753946,0.9953764128445717,0.003981356034968464,-0.0019425424525767274,0.0003405938090289825,0.12245809353137412,0.00021522027305115454,82.5125669502341,0.25293354843753946,25.327803387843794,0.08949518723823537,-999,36.29727222553407,42
10,Y,872,0.12365635322591019,0.00022446767763181002,0.8999992045528256,0.30335827374645596,81.92548448437542,0.2616833256290221,1.0281829371750446,0.06413827483651785,-0.0012810899133857915,0.0003537500348697375,0.12365635322591019,0.00022446767763181002,81.92548448437542,0.2616833256290221,25.39366506204833,0.09329475644931115,-999,46.81310120024568,42
10,Y,1783,0.12141370217817127,0.00019869493045025224,0.5000003221496149,0.2881106217138837,83.61588949203279,0.25198512648105265,0.9988162322657075,0.00044242595126808837,-0.002207450658759035,0.0003392858342148266,0.12141370217817127,0.00019869493045025224,83.61588949203279,0.25198512648105265,25.447577764715888,0.08726692192959337,-999,40.457554678015185,42
10,Y,2063,0.12239922036320094,0.00019454550667946668,0.6164901095829383,0.07793744559679733,82.42359205490665,0.23668739413153617,0.9949880428613536,0.004665259654430487,-0.002191175046871386,0.00031243379579093546,0.12239922036320094,0.00019454550667946668,82.42359205490665,0.23668739413153617,25.288328419097457,0.0829995692517284,-999,78.98871517584615,42
10,Y,sum,11.438993864525962,488.1878391573365,0.8294984828346721,0.36164797386833564,-1.3430411730608731,7.795388399084287,0.020792872868993784,1.349673403400589,0.05942030250323425,29.54882436122397,11.438993864525962,488.1878391573365,-1.3430411730608731,7.795388399084287,-38.50942979267611,1658.6168401232865,-999,2.0203048358715893e-05,42
2,Y,41,0.1379246811091574,0.0004271600071644778,0.6341813268991231,0.1511166425229576,70.75836267589698,0.292067410098376,0.03935285367280983,0.030048609145299054,0.0009259472231863847,0.00039555280224355584,0.1379246811091574,0.0004271600071644778,70.75836267589698,0.292067410098376,24.46299900341209,0.12623813678794782,-999,34.09154669356128,42
2,Y,281,0.1277095119868221,0.00022803358758449998,0.6155988007140207,0.09637004564870755,79.4868018288883,0.24879674328580847,0.9934223696718025,0.007096075603483798,-0.0001501199557580205,0.0003497746288433249,0.1277095119868221,0.00022803358758449998,79.4868018288883,0.24879674328580847,25.44533675584842,0.09169286868287886,-999,45.0839540039113,42
2,Y,872,0.13001437638937666,0.00023740275498345973,0.8999999934237328,0.05385518212171564,77.53995826966894,0.2506371314975624,1.1110666078290026,0.0514914083778818,0.00024314978541545429,0.000377129090689691,0.13001437638937666,0.00023740275498345973,77.53995826966894,0.2506371314975624,25.270094986034206,0.09381413416942892,-999,60.82170201825468,42
2,Y,1783,0.1267608527854929,0.000222697482805158,0.6033171455363031,0.11352993106160364,80.31640522671964,0.2511578719869618,0.9965923731411364,0.004687353754006807,-0.0002234873150035425,0.0003555527739661644,0.1267608527854929,0.000222697482805158,80.31640522671964,0.2511578719869618,25.519922353077416,0.09153525629412423,-999,58.14254570775019,42
2,Y,2063,0.1281014928170031,0.00020033621703480133,0.6275439587606673,0.12907985892656954,79.77764472439569,0.22654992860778123,0.9971891732366641,0.004635708897765711,0.00026919973002130195,0.00032421227451488895,0.1281014928170031,0.00020033621703480133,79.77764472439569,0.22654992860778123,25.616827006493686,0.08304759814817748,-999,72.16454219050958,42
2,Y,sum,6.073762416319249,758.6018437396501,0.590743591650568,0.22789060550626966,-1.3208909235534703,0.6704090241239042,1.31769361590384,1.3388300720173412,-0.12463195499467615,23.404230423901627,6.073762416319249,758.6018437396501,-1.3208909235534703,0.6704090241239042,-20.110121292392044,2511.738195190733,-999,0.0048518294060578785,42
3,Y,41,0.13756002353834132,0.00027173979360462316,0.7824639755319573,0.10548714570907758,70.92936406186885,0.23441787014710513,0.9641187024843734,0.059134432317885566,-0.00023716604838548122,0.0003911536424815801,0.13756002353834132,0.00027173979360462316,70.92936406186885,0.23441787014710513,24.4572848485558,0.0941684689956558,-999,60.1144851224346,42
3,Y,281,0.12727434617052644,0.00023073208938411958,0.7125208155939362,0.12718065970639886,80.02171537974195,0.24744074317086984,0.9886041837106777,0.019334173733109195,0.0002485767047649354,0.0003469897999448837,0.12727434617052644,0.00023073208938411958,80.02171537974195,0.24744074317086984,25.529285825890213,0.09150751481186108,-999,50.62596031526952,41
3,Y,872,0.12911188461331843,0.0002375671733812506,0.8996688846313605,0.3467133724529406,77.80929088230562,0.24954441457131793,0.9968704751450304,0.0714612966445578,-1.4925705655289559e-05,0.0003633557743162975,0.12911188461331843,0.0002375671733812506,77.80929088230562,0.24954441457131793,25.181848803118974,0.09310922480933875,-999,54.36794156027216,41
3,Y,1783,0.12579397435169243,0.00021981519905425007,0.7464159626898189,0.07034304163333122,80.90349895411912,0.25313884831391675,0.9879365198317079,0.01639459928099729,0.0006338347868373132,0.00035175069568077553,0.12579397435169243,0.00021981519905425007,80.90349895411912,0.25313884831391675,25.51038877643134,0.09142366531762969,-999,34.374301857000994,41
3,Y,2063,0.128008693705454,0.0002080640088037204,0.6568179602305464,0.0914999649474319,79.58164963422922,0.22608986518618934,0.9921908151417594,0.00848932316680695,-0.00035758865883604956,0.00032476476821728683,0.128008693705454,0.0002080640088037204,79.58164963422922,0.22608986518618934,25.53538071309982,0.08357936560861355,-999,42.72658712714039,41
3,Y,sum,9.737212158098155,328.8930521768921,0.8403844969342626,0.2066544454004527,-1.328620781154014,1.6603863070426699,0.03513463728863886,1.6532375605585286,0.032307232158466384,21.688807160550173,9.737212158098155,328.8930521768921,-1.328620781154014,1.6603863070426699,-32.42840646204987,1096.0811953030836,-999,3.6030003394689293e-05,42
4,X,41,0.13763687816837655,0.0002981224897876453,0.8274863320898604,0.07660678422536976,71.33849035763323,0.24716477746935084,0.8931971864425663,0.1632276484576315,-0.0004818416578045344,0.00039849520080190615,0.13763687816837655,0.0002981224897876453,71.33849035763323,0.24716477746935084,24.612099515221523,0.1005655619667927,-999,45.67894712626628,42
4,X,281,0.13236896752908334,0.00023564463707051778,0.8999962270032476,0.3610855439457354,80.16341796878503,0.24565054634376793,1.0251011631077172,0.06154614226593724,-0.0012551436265199824,0.00035766496542808827,0.13236896752908334,0.00023564463707051778,80.16341796878503,0.24565054634376793,26.598205784187755,0.0942625044818992,-999,52.11674577748967,42
4,X,872,0.1339676257573097,0.000241116142997728,0.8999999683223687,0.2504910227588049,78.49074992506159,0.2462333408195505,1.0950710518854097,0.05177424537786024,-0.0001965764650899376,0.00037316793650651637,0.1339676257573097,0.000241116142997728,78.49074992506159,0.2462333408195505,26.357746290491882,0.09532875631183789,-999,45.302799583556634,41
4,X,1783,0.1312003494027685,0.0002401825897082759,0.735754206958264,0.14678728968243093,81.45366407419154,0.2541552043164117,0.989662243448834,0.022171496059724016,-0.0005023798733137574,0.00035935364813482475,0.1312003494027685,0.0002401825897082759,81.45366407419154,0.2541552043164117,26.78770767519602,0.0969078893602104,-999,38.87744569231403,41
4,X,2063,0.13162748125811286,0.00021677798019664274,0.8999999335770432,0.29087918410094715,80.10261060487451,0.2284743597117398,1.036990656877859,0.05624563336264421,-0.0010407369093072879,0.00033357022495728516,0.13162748125811286,0.00021677798019664274,80.10261060487451,0.2284743597117398,26.42914876184471,0.08704682776882294,-999,47.74145193270844,42
4,X,sum,9.74843494372005,329.24632104008697,0.8477326778672154,0.3726905073704596,-1.3294773144669172,1.6569735599866813,0.031907523658617376,1.285721593371462,0.03159023286424669,21.686509380823658,9.74843494372005,329.24632104008697,-1.3294773144669172,1.6569735599866813,-32.486712353955454,1097.96196360333,-999,3.604617040712393e-05,42
5,X,41,0.13723728334666113,0.00034719936471775244,0.5365223119012689,0.2958297228591348,71.14785739369256,0.21365855000774303,0.990894723287846,0.015123107491160803,-0.0019265629130929207,0.0003373994161731447,0.13723728334666113,0.00034719936471775244,71.14785739369256,0.21365855000774303,24.475066054219507,0.0961051867891734,-999,47.63421815296935,30
5,X,281,0.13217554058546943,0.00018956810126784745,0.5000864744888782,0.0017249117488034593,80.40226575748906,0.20669272788803283,1.0001380267250868,0.0011436647660387211,-0.0012629223651563978,0.00028023993992452883,0.13217554058546943,0.00018956810126784745,80.40226575748906,0.20669272788803283,26.63847243791543,0.07841688532928608,-999,43.4940026076334,30
5,X,872,0.13393305124159294,0.00021709326823503343,0.899999999952179,0.07226247012367287,78.53681660689519,0.22151716638505548,1.2007644850028911,0.048227848221318315,-0.001155349934862761,0.00032109356395937805,0.13393305124159294,0.00021709326823503343,78.53681660689519,0.22151716638505548,26.366409377262645,0.08577337217783869,-999,78.91620693182836,30
5,X,1783,0.13084360626133493,0.0001933771851043703,0.5000006406215475,0.3324076786024879,81.30863853775956,0.2157162496133651,0.9989665541815287,0.00110801353655271,-0.001633061033181147,0.0003041064930376702,0.13084360626133493,0.0001933771851043703,81.30863853775956,0.2157162496133651,26.667305044165,0.08098682663986746,-999,62.035216995140296,30
5,X,2063,0.13152870586334406,0.00018618086772865646,0.899999999979311,0.059763241756445984,80.4610695905934,0.20127703614266323,1.1057907916625271,0.0520464067018408,-0.0013168008596266656,0.00028207771960621494,0.13152870586334406,0.00018618086772865646,80.4610695905934,0.20127703614266323,26.527497524158658,0.07624712301560531,-999,102.87149786481459,30
5,X,sum,5.723752555809692,1.9998965360439531,0.8970552107721399,0.35507356141643115,-1.3320783027209924,0.35905951425851085,0.5272611196031225,1.7353713818736995,-0.005830809579926519,1.9894909497945528,5.723752555809692,1.9998965360439531,-1.3320783027209924,0.35905951425851085,-19.111753665381954,8.43386766918726,-999,7.310208234214907e-05,30
6,Y,41,0.13586497905963082,0.0002111878535097408,0.5000000039796207,0.36795746111610317,71.8516803078182,0.20481136503401842,0.9977661123908298,0.0013649256044198088,-0.002586185557016848,0.0003288612635871894,0.13586497905963082,0.0002111878535097408,71.8516803078182,0.20481136503401842,24.470023660059145,0.07944790595976851,-999,36.954697745079685,30
6,Y,281,0.12479401133835297,0.00021902446416988906,0.6359704383953391,0.1386959391689962,80.81166846544839,0.23037993333477402,0.9879089716940421,0.01629445282551112,-0.002963120927050375,0.00030196689589015365,0.12479401133835297,0.00021902446416988906,80.81166846544839,0.23037993333477402,25.27887558220357,0.0846277612089653,-999,26.67247302369305,30
6,Y,872,0.12644778669819012,0.00021199855081727536,0.8999999392908948,0.35439734814079976,78.9307172099581,0.23050978258582688,1.0053184311711432,0.07316742058897657,-0.003158921712521895,0.0003195414900113157,0.12644778669819012,0.00021199855081727536,78.9307172099581,0.23050978258582688,25.01769048810025,0.08424560420651309,-999,37.718905387138875,30
6,Y,1783,0.12433147464541695,0.000187914611348178,0.5000003227473028,0.3838927044055376,81.62255070359262,0.22324430745472057,0.998073097532009,0.000953720163245686,-0.002783946948561571,0.0003027440401968252,0.12433147464541695,0.000187914611348178,81.62255070359262,0.22324430745472057,25.437895635143967,0.07949087948904776,-999,36.716998810409535,30
6,Y,2063,0.12583704530958925,0.00017443872688921138,0.5000000450698927,0.32967563222713453,80.67834168872679,0.20367264995707046,0.9984142023500687,0.0009123612272986525,-0.0035295086958510454,0.0002863328926211657,0.12583704530958925,0.00017443872688921138,80.67834168872679,0.20367264995707046,25.44810273900058,0.07329202458296478,-999,39.84384915720652,30
