XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,1655.8696810260906,3.3877391608318486,0.6657836622197241,0.001362124937118324
1_2,XY,2291,1652.0381989096757,4.187702409529489,0.6673277779652799,0.0016915893019759127
1_2,XY,2451,1642.4394720352686,3.8368799762990555,0.6712277676972949,0.001568045839900736
1_2,XY,131,1638.9619773131567,4.439663954468643,0.6726519563312062,0.0018220975750286549
1_2,XY,1871,1642.7654887002122,3.5400971422800707,0.6710945585206063,0.001446183247189004
1_2,XY,251,1646.4430067054109,4.985154804063967,0.6695955923783838,0.0020274237678015268
1_2,XY,171,1631.7294538269427,4.285077782402774,0.6756334377654006,0.0017742780988765415
1_2,XY,1631,1658.463496769176,2.7355993516602233,0.6647423850689645,0.0010964780600587578
1_2,XY,1711,1639.058058131342,4.022612677505572,0.6726125257875488,0.0016507405944891952
1_2,XY,1831,1643.4696068657222,4.137556623998149,0.6708070388321039,0.0016888064709864295
1_2,XY,851,1643.522223478577,4.018761333422546,0.6707855632513309,0.0016402133455225836
1_2,XY,971,1646.6798728497686,4.206467418622651,0.6694992746126416,0.0017102455260935277
1_2,XY,sum,67.15516586450055,481.6609509055625,16.416473196069237,117.74483747220204
1_2,XY,1,1681.0857252668295,5.633961568190629,0.6557970029857764,0.002197826711525978
1_2,XY,811,1651.1301780496094,3.363810768881501,0.6676947675285195,0.001360279691569408
1_2,XY,931,1657.3810242248676,2.722615715831927,0.6651765431595652,0.0010926999185694028
1_2,XY,1671,1647.9164143030625,4.039616491236655,0.6689969047115815,0.0016399441776311936
1_2,XY,1751,1638.710085038719,4.278353652572074,0.6727553521867222,0.0017564335171876772
1_2,XY,891,1647.4133091503622,4.018244347508271,0.6692012103269552,0.001632264329665283
1_2,XY,771,1660.6212436935637,3.4671889851948556,0.6638786445608024,0.001386103383097547
1_2,XY,1791,1655.160363944709,2.4794704524068694,0.6660689830468806,0.0009977875248253596
1_2,XY,91,1649.721809838863,4.487390124485754,0.6682647788355536,0.0018177396644718084
1_2,XY,2331,1645.5307234358472,3.9250719099557907,0.6699668165965649,0.0015980667482980607
1_2,XY,2211,1649.36208184477,3.921908654266174,0.6684105282444066,0.0015893690440563193
1_2,XY,51,1656.642222135487,3.7310784429930877,0.6654731876693616,0.0014987742264002157
1_2,XY,1011,1650.0298902030347,4.008938080782368,0.6681400057889262,0.0016233232672965621
1_2,XY,2411,1644.2030116394944,3.9874391978017076,0.6705078220802327,0.001626082152428015
1_2,XY,2674,1680.4340563500302,2.6873856286232614,0.6560513197326674,0.0010491711243453001
1_2,XY,2371,1658.0498614880692,3.028891708584782,0.664908218986085,0.0012146407886970047
1_2,XY,2251,1641.3036005009715,3.624528280575329,0.6716922938910621,0.0014833134554201747
1_2,XY,291,1648.6893444775535,3.7110737484787353,0.6686832689766113,0.001505154948600951
