Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,1,0.13509243232354182,1.4329163822918863e-07,0.9994206615061426,9.365887657295403,0.014370349080232638,2.3561356147366874e-08,3.9682755414993665e-09,0.14118320671827037,-0.005708357825396351,2.3716138209848658e-07,9.16349313936915e-06,7.066970203473133e-10,0.13509243232354182,1.4329163822918863e-07,0.014370349080232638,2.3561356147366874e-08,0.004866181164437008,9.502515856561595e-09,0,131.176991727373,19
1,X,51,0.12661486247150475,0.0001577650667389789,1.5198370229323424,0.14250993513187127,0.01786668831344855,2.9084008763878913e-05,0.01772491254686759,0.009996617902659294,-0.003823781977884511,0.00016639297411891069,6.4986686442725095e-06,1.1810302562448305e-06,0.12661486247150475,0.0001577650667389789,0.01786668831344855,2.9084008763878913e-05,0.005670465114282245,1.162434098728282e-05,0,98.60012019409771,19
1,X,91,0.1285129991869184,0.0002141582674789111,1.4018612845908225,0.09116746346064275,0.017277490410673703,3.6696487155903415e-05,0.05258476227234826,0.026983971047685767,-0.0037192787485655077,0.0002100861270831839,7.32368077133172e-06,1.4058356053031629e-06,0.1285129991869184,0.0002141582674789111,0.017277490410673703,3.6696487155903415e-05,0.005565672580165373,1.502541129306446e-05,0,62.420402486173636,19
1,X,131,0.128172463900998,0.00021027985259222822,1.3716852528257966,0.06065822829679868,0.0174552622178755,3.7035179620878433e-05,0.07987733303941646,0.03136477296754314,-0.0036106409441127164,0.00021621570695025733,8.264355423281966e-06,1.3185861795494969e-06,0.128172463900998,0.00021027985259222822,0.0174552622178755,3.7035179620878433e-05,0.005608039248815272,1.5040910826583608e-05,0,48.655912067688945,19
1,X,171,0.12837253139681523,0.00020094363197425527,1.3455574866340994,0.05044383112245465,0.01729182143514116,3.82603098678172e-05,0.10970220793180102,0.041091910932021025,-0.003634553531013145,0.0001864726906778639,8.399147422816222e-06,1.2916327295359187e-06,0.12837253139681523,0.00020094363197425527,0.01729182143514116,3.82603098678172e-05,0.005564200635382967,1.5080855343309848e-05,0,40.42387177397962,19
1,X,211,0.12721596587952105,0.00015856160013147624,1.566093100968858,0.16629951886183048,0.017679132786900174,3.045150267995747e-05,0.014250634726073685,0.008147599079912082,-0.003415331273684794,0.00017951251739474773,6.15762660347019e-06,1.5103571856384113e-06,0.12721596587952105,0.00015856160013147624,0.017679132786900174,3.045150267995747e-05,0.005637577323553438,1.1986124714430232e-05,0,65.16380115540628,19
1,X,251,0.12651350397109373,0.00017526516522600686,1.5344055617077226,0.08938289649871811,0.01784480281515998,3.265196765960682e-05,0.03381192400876193,0.011749353945126884,-0.0036213488761335346,0.00016528991620949328,4.678321635531724e-06,1.6312024421205606e-06,0.12651350397109373,0.00017526516522600686,0.01784480281515998,3.265196765960682e-05,0.005658985378906003,1.2987664752886932e-05,0,59.68384921224167,19
1,X,291,0.12663201836901844,0.00017210404211994378,1.4853003895716115,0.10166091493707619,0.017924509123248184,3.035379073459965e-05,0.03501847815690484,0.015719593321486314,-0.0035424603175300546,0.0001725986441244437,7.061686128129185e-06,1.3884195382979359e-06,0.12663201836901844,0.00017210404211994378,0.017924509123248184,3.035379073459965e-05,0.005689586890281011,1.2354141220172577e-05,0,42.68989431759303,19
1,X,771,0.1257776296734278,0.00016353472493477273,1.5313632322723665,0.13840117329424706,0.01800476495374288,2.844963154013079e-05,0.01990893155449991,0.01073500295444238,-0.0035217223617147004,0.0001647030481491157,5.740605189347159e-06,1.2186186005569422e-06,0.1257776296734278,0.00016353472493477273,0.01800476495374288,2.844963154013079e-05,0.005676502015354826,1.1615711714946048e-05,0,54.92940466573558,19
1,X,811,0.12649346799610434,0.00015805715567279222,1.2796919950067664,0.04648898331075024,0.01768368332582143,2.7537912389186125e-05,0.11292321571180841,0.05016810667204985,-0.0037106685621079234,0.000164558605821032,7.146283937886633e-06,7.568036731325778e-07,0.12649346799610434,0.00015805715567279222,0.01768368332582143,2.7537912389186125e-05,0.005607002668599585,1.119485183117395e-05,0,54.39908379022062,19
