"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 1.3353653241633234), ('281', 1.2596890471640754), ('872', 1.1288905099346951), ('1783', 1.0427268779852366), ('2063', 1.2798113338660921)]"
"[('41', 0.081085755997973047), ('281', 0.097283265876232289), ('872', 0.079599013945702249), ('1783', 0.057425396828546228), ('2063', 0.081124944501906868)]"
1,X1,22
"[('41', 0.62493734103187715), ('281', 0.66381007204932041), ('872', 0.70233365513144219), ('1783', 0.68061937783719051), ('2063', 0.69717453272546637)]"
"[('41', 0.054962562962866043), ('281', 0.080265153856360474), ('872', 0.082525873819213835), ('1783', 0.091569749606921949), ('2063', 0.07678007837227406)]"
1,X1,23
"[('41', 0.72882312588463105), ('281', 0.52475789290832497), ('872', 0.43598405571814403), ('1783', 0.48890644945596012), ('2063', 0.56265742526100027)]"
"[('41', 0.094319014678524993), ('281', 0.081351959680850239), ('872', 0.05502183731254958), ('1783', 0.067114497861224531), ('2063', 0.086272984651970919)]"
1,X1,24
"[('41', 0.56861619080092596), ('281', 0.43713031692890419), ('872', 0.50412340605005523), ('1783', 0.54584694353709751), ('2063', 0.49087237479806139)]"
"[('41', 0.10290341350200735), ('281', 0.079921578536547078), ('872', 0.094336170344526363), ('1783', 0.11937609859625077), ('2063', 0.066877047631455022)]"
1,X1,25
"[('41', 0.3989088200719676), ('281', 0.3494919939685503), ('872', 0.36509332376166548), ('1783', 0.41266209000762777), ('2063', 0.43200258490701515)]"
"[('41', 0.062488098397426507), ('281', 0.04933913859223802), ('872', 0.055046243848006861), ('1783', 0.068894007317026759), ('2063', 0.074500248380714618)]"
Scan_2
2,Y1,1
"[('41', 0.39893246692968204), ('281', 0.40093402410264983), ('872', 0.41521309283996916), ('1783', 0.43267052838736031), ('2063', 0.28836976100722361)]"
"[('41', 0.06096687750075086), ('281', 0.073485967580535105), ('872', 0.058385579669169171), ('1783', 0.080775349144194555), ('2063', 0.0370210989089272)]"
2,Y1,2
"[('41', 0.43425950853609857), ('281', 0.36721013147144027), ('872', 0.36344986354269165), ('1783', 0.3441851398017155), ('2063', 0.46769610756202645)]"
"[('41', 0.072364745896297142), ('281', 0.059885070322040837), ('872', 0.060618048378542122), ('1783', 0.052037443380067765), ('2063', 0.074484320629420245)]"
2,Y1,3
"[('41', 0.48335860874559178), ('281', 0.54833150837387135), ('872', 0.35690954773869349), ('1783', 0.43595380598153316), ('2063', 0.37064029151483602)]"
"[('41', 0.057415484929197631), ('281', 0.087283397245635497), ('872', 0.0455830228791737), ('1783', 0.072040296280035998), ('2063', 0.04772562578925655)]"
2,Y1,4
"[('41', 0.67386700170510638), ('281', 0.6232184527014899), ('872', 0.59150215362526926), ('1783', 0.68401263482833508), ('2063', 0.54448931969125836)]"
"[('41', 0.073952120211805958), ('281', 0.090036737637227179), ('872', 0.083972797568083055), ('1783', 0.1009943127072446), ('2063', 0.058121636961163563)]"
2,Y1,5
"[('41', 1.3755541197796084), ('281', 0.93315323239303893), ('872', 0.95889120212498657), ('1783', 1.0276925285809149), ('2063', 1.2385521190471918)]"
"[('41', 0.076578705724094157), ('281', 0.078754163516106521), ('872', 0.076709468580927448), ('1783', 0.086785007206531373), ('2063', 0.095932276988455537)]"
2,Y1,6
"[('41', 2.7537783141477905), ('281', 2.1664577588368013), ('872', 1.9575218610177674), ('1783', 2.0011232408748283), ('2063', 2.1535683113892552)]"
"[('41', 0.096418490609977453), ('281', 0.098917808934557303), ('872', 0.1013081662730321), ('1783', 0.094909720372296447), ('2063', 0.091963507179751464)]"
2,Y1,7
"[('41', 6.0985839659721099), ('281', 4.678319481591843), ('872', 4.535776457708943), ('1783', 4.2581837760229719), ('2063', 5.1154322538953112)]"
"[('41', 0.14933665031782306), ('281', 0.13170202729391792), ('872', 0.13246119119196681), ('1783', 0.11767543157146909), ('2063', 0.13038710346431603)]"
2,Y1,8
"[('41', 11.235862093720275), ('281', 9.8279990665781121), ('872', 9.764741777717953), ('1783', 9.2908635727360824), ('2063', 11.142295541035399)]"
"[('41', 0.16992111643178243), ('281', 0.15753533320794619), ('872', 0.17140972312966346), ('1783', 0.16807406381209763), ('2063', 0.17010600639479853)]"
2,Y1,9
"[('41', 19.608205238646459), ('281', 19.318180186325371), ('872', 18.09456160818451), ('1783', 18.121734995109783), ('2063', 22.129418205970524)]"
"[('41', 0.23721569161920553), ('281', 0.23170955445444513), ('872', 0.21368095865281345), ('1783', 0.22260726746344625), ('2063', 0.24762293558892334)]"
2,Y1,10
"[('41', 30.651295304241707), ('281', 32.228015221956952), ('872', 29.531606952183548), ('1783', 30.347458159465159), ('2063', 36.296417961352397)]"
"[('41', 0.28470370437978537), ('281', 0.28438293084457766), ('872', 0.27548032520258586), ('1783', 0.27428070929803705), ('2063', 0.29837481541725575)]"
2,Y1,11
"[('41', 41.50122993808538), ('281', 46.182421704533851), ('872', 42.623555295624811), ('1783', 44.683858750139244), ('2063', 51.976584188292094)]"
"[('41', 0.32550444019725139), ('281', 0.34500191544451259), ('872', 0.33769360206066401), ('1783', 0.33618557799597026), ('2063', 0.36509910150674774)]"
2,Y1,12
"[('41', 50.818149750292406), ('281', 57.791874025105848), ('872', 52.639760490159674), ('1783', 55.335372476212576), ('2063', 65.404040591604996)]"
"[('41', 0.36373182856318997), ('281', 0.39587467233531071), ('872', 0.3691679603284086), ('1783', 0.37602059211975558), ('2063', 0.40914873538033364)]"
2,Y1,13
"[('41', 54.565281967974009), ('281', 61.644730611752252), ('872', 56.46151346634111), ('1783', 59.113626869412649), ('2063', 69.828838029803634)]"
"[('41', 0.38422253764706499), ('281', 0.39556421558404087), ('872', 0.38451785207321199), ('1783', 0.39071394027145923), ('2063', 0.4250537571444904)]"
2,Y1,14
"[('41', 51.197565759113985), ('281', 57.538120516223337), ('872', 52.176624425513914), ('1783', 55.935022979443495), ('2063', 65.873577919892298)]"
"[('41', 0.37186748708516015), ('281', 0.39443379013458452), ('872', 0.37309538943523107), ('1783', 0.38645845906364346), ('2063', 0.41853954149245454)]"
2,Y1,15
"[('41', 42.163360408447438), ('281', 46.188624589159382), ('872', 43.095907323004944), ('1783', 44.346258459196271), ('2063', 53.093595647491362)]"
"[('41', 0.33354010028585857), ('281', 0.34439821191490344), ('872', 0.34112900970045057), ('1783', 0.33418496078512921), ('2063', 0.37112965613554116)]"
2,Y1,16
"[('41', 31.131063692324258), ('281', 32.466633157710504), ('872', 30.096927329181398), ('1783', 31.056157290666476), ('2063', 36.998626743497226)]"
"[('41', 0.28341439745424507), ('281', 0.28428397589664234), ('872', 0.27417038273712924), ('1783', 0.28579270470231694), ('2063', 0.30908836853506866)]"
2,Y1,17
"[('41', 19.901470424417958), ('281', 18.612285637354578), ('872', 18.585222525483207), ('1783', 18.293783475201664), ('2063', 22.131519084890858)]"
"[('41', 0.22710057321253641), ('281', 0.21899828161343302), ('872', 0.22839057893897044), ('1783', 0.22005262784723065), ('2063', 0.24116155660325217)]"
2,Y1,18
