"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.00042294875403998456), ('281', 0.00041000077488765474), ('872', 0.00040015236892910718), ('1783', 0.00040232877204101914), ('2063', 0.00043621552421482552)]"
1,X1,20
"[('41', 0.0070820075951965513), ('281', 0.0059712193373278027), ('872', 0.0059678841697258051), ('1783', 0.0059788739616449598), ('2063', 0.0067972030844105844)]"
"[('41', 0.00027060457352660541), ('281', 0.00024741264264411866), ('872', 0.00024833692029865205), ('1783', 0.00024730394777857013), ('2063', 0.00026368154769429935)]"
1,X1,21
"[('41', 0.0029755410525480548), ('281', 0.0024406941095931186), ('872', 0.0022946260057613984), ('1783', 0.0021776743631048267), ('2063', 0.0024788799428866063)]"
"[('41', 0.00017268034860390619), ('281', 0.00015542295495100733), ('872', 0.00015145490205178768), ('1783', 0.00014699328288065048), ('2063', 0.0001572103330252944)]"
1,X1,22
"[('41', 0.001017229321635196), ('281', 0.00071184207730392473), ('872', 0.00073251518111172446), ('1783', 0.00065804835594047842), ('2063', 0.00077390354829476185)]"
"[('41', 0.000104844146001055), ('281', 8.6934392745247367e-05), ('872', 8.815216082984176e-05), ('1783', 8.3544722969024638e-05), ('2063', 9.0543502793561997e-05)]"
1,X1,23
"[('41', 0.00031782922638379864), ('281', 0.00020857335822970879), ('872', 0.0002974685427016093), ('1783', 0.00018838366812746633), ('2063', 0.00024811679353705377)]"
"[('41', 5.6175871013452109e-05), ('281', 4.55096913951853e-05), ('872', 5.4301998624747857e-05), ('1783', 4.3214106481553911e-05), ('2063', 4.9617202131176051e-05)]"
1,X1,24
"[('41', 0.00017428211147904003), ('281', 7.1771316080876019e-05), ('872', 7.18096019696348e-05), ('1783', 4.1066075315182127e-05), ('2063', 0.00010251153254741159)]"
"[('41', 4.2265937260332587e-05), ('281', 2.7126034171699007e-05), ('872', 2.7140503838580826e-05), ('1783', 2.0532616047627108e-05), ('2063', 3.2415331328033112e-05)]"
1,X1,25
"[('41', 3.0778385365903707e-05), ('281', 2.0508193023112733e-05), ('872', 1.0261040879986866e-05), ('1783', 1.0264621953973436e-05), ('2063', 1.0247686584753491e-05)]"
"[('41', 1.7769635609567582e-05), ('281', 1.4501333656163615e-05), ('872', 1.0260988235371849e-05), ('1783', 1.0264569272606317e-05), ('2063', 1.0247634077078803e-05)]"
Scan_2
2,Y1,1
"[('41', 2.1216557401396051e-05), ('281', 2.121700755325469e-05), ('872', 4.2469607686998991e-05), ('1783', 1.0597598584160829e-05), ('2063', 1.0615823947175661e-05)]"
"[('41', 1.5002212461777395e-05), ('281', 1.5002530760455734e-05), ('872', 2.1234352921817554e-05), ('1783', 1.0597542429464176e-05), ('2063', 1.0615767599167076e-05)]"
2,Y1,2
"[('41', 4.2476823583132456e-05), ('281', 5.307292219509606e-05), ('872', 6.3711852528298675e-05), ('1783', 4.2369739532026228e-05), ('2063', 5.3060531454283044e-05)]"
"[('41', 2.1237960716640681e-05), ('281', 2.3734302509092147e-05), ('872', 2.6009426283004194e-05), ('1783', 2.1184420962552146e-05), ('2063', 2.3728761495407171e-05)]"
2,Y1,3
"[('41', 0.00038999958947411636), ('281', 0.00013331965952210031), ('872', 0.00012311606767279854), ('1783', 0.00012298736304844677), ('2063', 0.00011286913337027232)]"
"[('41', 6.3253949528718211e-05), ('281', 3.6973755738063228e-05), ('872', 3.5538359532666731e-05), ('1783', 3.5501210279961871e-05), ('2063', 3.4029403566569271e-05)]"
2,Y1,4
"[('41', 0.0010675425990556355), ('281', 0.00054358416836750392), ('872', 0.00041957898830295649), ('1783', 0.00051299940492069028), ('2063', 0.0005650007704555961)]"
"[('41', 0.00010462527358955659), ('281', 7.4646731254789662e-05), ('872', 6.5513480646177719e-05), ('1783', 7.2530460390349242e-05), ('2063', 7.6163163101876835e-05)]"
2,Y1,5
"[('41', 0.0029896134049744701), ('281', 0.0016009195024834777), ('872', 0.0016394618466488375), ('1783', 0.0015161914908874842), ('2063', 0.002092758440279445)]"
"[('41', 0.00017559418887808334), ('281', 0.00012807350122232412), ('872', 0.0001295045497136166), ('1783', 0.00012537555799912442), ('2063', 0.00014636899993902277)]"
2,Y1,6
"[('41', 0.007334082285859635), ('281', 0.0051144924768150085), ('872', 0.0043996216750443679), ('1783', 0.0046493401961407296), ('2063', 0.0054490992522093816)]"
"[('41', 0.00028059207562630126), ('281', 0.00023236225219832923), ('872', 0.00021679778546220186), ('1783', 0.0002228992156413526), ('2063', 0.00024086590940019528)]"
2,Y1,7
"[('41', 0.016919797495337063), ('281', 0.012574032825924062), ('872', 0.012031139419674451), ('1783', 0.01160581317721974), ('2063', 0.014435292189164823)]"
"[('41', 0.00041641870350657444), ('281', 0.00035787657876360624), ('872', 0.00035036703366023337), ('1783', 0.00034416353622245601), ('2063', 0.00038506452802032208)]"
2,Y1,8
"[('41', 0.032257733650611305), ('281', 0.027742127580931652), ('872', 0.027375614360910742), ('1783', 0.026354874064058835), ('2063', 0.032213416447091872)]"
"[('41', 0.00057762894012164791), ('281', 0.00053261642938880541), ('872', 0.00053108167278277782), ('1783', 0.00052160078558887715), ('2063', 0.00057567559017920043)]"
2,Y1,9
"[('41', 0.05743916213163569), ('281', 0.056266718594664401), ('872', 0.052870646969758975), ('1783', 0.052442786426572928), ('2063', 0.063715868334241116)]"
"[('41', 0.00077076230697779142), ('281', 0.00076001975926803225), ('872', 0.00073678433659337913), ('1783', 0.00073438834483199899), ('2063', 0.00080899403557958154)]"
2,Y1,10
"[('41', 0.089614911921343715), ('281', 0.094655908680298925), ('872', 0.087300042015515), ('1783', 0.088856952214751317), ('2063', 0.10605517001014833)]"
"[('41', 0.000959657496412156), ('281', 0.00098247534409838348), ('872', 0.00094796866813652732), ('1783', 0.00095268145968598029), ('2063', 0.0010385648660081283)]"
2,Y1,11
"[('41', 0.12126522852074903), ('281', 0.13623262122753477), ('872', 0.12506760841207726), ('1783', 0.13253779514183794), ('2063', 0.15334981799658279)]"
"[('41', 0.0011379603740324822), ('281', 0.0012048064773311615), ('872', 0.0011542711340842939), ('1783', 0.0011853294072693031), ('2063', 0.001273320618970411)]"
2,Y1,12
"[('41', 0.15003657877158944), ('281', 0.17065284227042385), ('872', 0.15441223319528513), ('1783', 0.16208869965917416), ('2063', 0.19276801629742807)]"
"[('41', 0.0012660977346979948), ('281', 0.0013454341457720576), ('872', 0.0012837114068989495), ('1783', 0.0013079759423934346), ('2063', 0.0014309281607023619)]"
2,Y1,13
"[('41', 0.15845981007291843), ('281', 0.18106773482536453), ('872', 0.16673393520977164), ('1783', 0.17461584301706892), ('2063', 0.20525239250929977)]"
