"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.45572170409350632), ('281', 0.43615043863458697), ('872', 0.38390996248436848), ('1783', 0.34666956144159794), ('2063', 0.44727424342448141)]"
"[('41', 0.035369229090355198), ('281', 0.043415709842320675), ('872', 0.035655094880703612), ('1783', 0.024610604697256126), ('2063', 0.036103731751619933)]"
1,X1,22
"[('41', 0.20362772218405956), ('281', 0.23525588650375101), ('872', 0.25944044259616811), ('1783', 0.24783468404489375), ('2063', 0.24343772922682663)]"
"[('41', 0.025401108820799934), ('281', 0.038269611870046849), ('872', 0.041322220449667962), ('1783', 0.0441748077061049), ('2063', 0.035087871053331297)]"
1,X1,23
"[('41', 0.27578781010932518), ('281', 0.19108872193511964), ('872', 0.14311642973139616), ('1783', 0.16914299608360758), ('2063', 0.21459343026386646)]"
"[('41', 0.044370252022558856), ('281', 0.040071175462075573), ('872', 0.026500987559040453), ('1783', 0.031343634655308074), ('2063', 0.043804602943903592)]"
1,X1,24
"[('41', 0.2069971107083251), ('281', 0.14724493551021872), ('872', 0.18095426115204105), ('1783', 0.20704260741591587), ('2063', 0.17516603841321127)]"
"[('41', 0.049020084417073215), ('281', 0.038626431939097379), ('872', 0.045290492044084939), ('1783', 0.058635310068124009), ('2063', 0.032983520446456263)]"
1,X1,25
"[('41', 0.13271834815459579), ('281', 0.10861994686580025), ('872', 0.11704953338119167), ('1783', 0.13734464037331179), ('2063', 0.15764342643785453)]"
"[('41', 0.031217328166722225), ('281', 0.02410660745586396), ('872', 0.026713884887428381), ('1783', 0.032873914366977744), ('2063', 0.038316326074522344)]"
Scan_2
2,Y1,1
"[('41', 0.13028544906010675), ('281', 0.12987205912391139), ('872', 0.13896753710906679), ('1783', 0.14077642865099699), ('2063', 0.078160108447382595)]"
"[('41', 0.030122047820127763), ('281', 0.035819475611740606), ('872', 0.028649176565129015), ('1783', 0.039022814125699128), ('2063', 0.018860086844397259)]"
2,Y1,2
"[('41', 0.14942582088582329), ('281', 0.11177857832578177), ('872', 0.10884094833187903), ('1783', 0.10548252942705433), ('2063', 0.16284727380775516)]"
"[('41', 0.036442146129221663), ('281', 0.028205750632487817), ('872', 0.028675489635632601), ('1783', 0.025100193025974226), ('2063', 0.036495267979097315)]"
2,Y1,3
"[('41', 0.15000134602787174), ('281', 0.19743667989014344), ('872', 0.099524407753050964), ('1783', 0.1450517304810531), ('2063', 0.11408390026746128)]"
"[('41', 0.026555314112282756), ('281', 0.042221134668136442), ('872', 0.020708241279009519), ('1783', 0.035452414836109385), ('2063', 0.023648344130558333)]"
2,Y1,4
"[('41', 0.22168177331059857), ('281', 0.22339795368874529), ('872', 0.21442928930366117), ('1783', 0.24874818284606687), ('2063', 0.18421288817088494)]"
"[('41', 0.0349757752915262), ('281', 0.044220708865719688), ('872', 0.041587222914763827), ('1783', 0.047313151465215725), ('2063', 0.0284528685088455)]"
2,Y1,5
"[('41', 0.47911843356844164), ('281', 0.31411159676536315), ('872', 0.32723715854840446), ('1783', 0.36763940487086988), ('2063', 0.44894900285411693)]"
"[('41', 0.035621604355834731), ('281', 0.036186515896841819), ('872', 0.034728728742319109), ('1783', 0.040586601461644806), ('2063', 0.04464690470228385)]"
2,Y1,6
"[('41', 0.94311177125881918), ('281', 0.76106515138854069), ('872', 0.69353730761376087), ('1783', 0.70417919869295609), ('2063', 0.74073798956340875)]"
"[('41', 0.039256776171691828), ('281', 0.04279449295403872), ('872', 0.045227240159923514), ('1783', 0.03972287877103485), ('2063', 0.038997256526790564)]"
2,Y1,7
"[('41', 2.1574866742044905), ('281', 1.6691468164928467), ('872', 1.611313508372068), ('1783', 1.5051956209619526), ('2063', 1.793728010339628)]"
"[('41', 0.060904815959042298), ('281', 0.053984607535419643), ('872', 0.055516688418103727), ('1783', 0.047312699139703852), ('2063', 0.051988376533976276)]"
2,Y1,8
