"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('81', 8.6925042690543644e-05), ('875', 6.9590783332990733e-05), ('1610', 7.6700959133896391e-05), ('1690', 8.4819165410018611e-05), ('1730', 8.0163950251246733e-05)]"
Scan_2
2,Y1,1
"[('81', 0.00038253108065030282), ('875', 0.00017710650476770711), ('1610', 0.00018418685047569795), ('1690', 0.00036837109137019877), ('1730', 0.00022669793208980073)]"
"[('81', 5.2045929125304317e-05), ('875', 3.5418164143244792e-05), ('1610', 3.6118686505447902e-05), ('1690', 5.1074469387875308e-05), ('1730', 4.0070368558189909e-05)]"
2,Y1,2
"[('81', 0.0013390854184641933), ('875', 0.00055220779579355712), ('1610', 0.00080072341218618203), ('1690', 0.0012701305335238529), ('1730', 0.0011458390855375779)]"
"[('81', 9.7063076983157319e-05), ('875', 6.1721659803005622e-05), ('1610', 7.4315531433214461e-05), ('1690', 9.3575781818804857e-05), ('1730', 8.9417843587286507e-05)]"
2,Y1,3
"[('81', 0.0044016691344730113), ('875', 0.0022074906619106906), ('1610', 0.0027728236363024532), ('1690', 0.0041458867553724908), ('1730', 0.0036746890647714426)]"
"[('81', 0.00017305343472081612), ('875', 0.00012249545660730974), ('1610', 0.00013773941357271812), ('1690', 0.00016858733552780437), ('1730', 0.00015840917633462505)]"
2,Y1,4
"[('81', 0.011497196286228315), ('875', 0.0077351403882016129), ('1610', 0.008745838832312329), ('1690', 0.011004812964142432), ('1730', 0.010354699339452914)]"
"[('81', 0.00027553022756502104), ('875', 0.00022545464332416061), ('1610', 0.00024002553273413965), ('1690', 0.0002708518250894345), ('1730', 0.00026138177660836874)]"
2,Y1,5
"[('81', 0.02624654252276383), ('875', 0.017895360262743461), ('1610', 0.021846816529815589), ('1690', 0.023435028704881511), ('1730', 0.024538473445818162)]"
"[('81', 0.00042036931562898077), ('875', 0.00034785070604420408), ('1610', 0.00038516866600744583), ('1690', 0.00039728363656970684), ('1730', 0.00040764026569873376)]"
2,Y1,6
"[('81', 0.051381871393467518), ('875', 0.039774413772632827), ('1610', 0.04528228951673581), ('1690', 0.046846312069465344), ('1730', 0.048565669952235012)]"
"[('81', 0.00059671363358128858), ('875', 0.00052592632005491607), ('1610', 0.00056057048986599774), ('1690', 0.00056696291618427857), ('1730', 0.0005795716103091786)]"
2,Y1,7
"[('81', 0.085109533263788409), ('875', 0.071946803785115296), ('1610', 0.07744592648424567), ('1690', 0.076137724953898755), ('1730', 0.080821880930908696)]"
"[('81', 0.00075844107506080913), ('875', 0.00069686586721941235), ('1610', 0.00072239850581111886), ('1690', 0.0007149661367910888), ('1730', 0.00073916118342643648)]"
2,Y1,8
"[('81', 0.12445503729383339), ('875', 0.10893929943206067), ('1610', 0.11721330312879609), ('1690', 0.10952221499996717), ('1730', 0.11932556826388981)]"
"[('81', 0.00090798263843255378), ('875', 0.00084707320408929521), ('1610', 0.00087571166165417941), ('1690', 0.00085131561791793096), ('1730', 0.00088769481667554876)]"
2,Y1,9
"[('81', 0.15411795586245886), ('875', 0.1427965730976048), ('1610', 0.14869675821550429), ('1690', 0.13578452157409091), ('1730', 0.14632504862471146)]"
"[('81', 0.0010229192003412229), ('875', 0.00098128785485065875), ('1610', 0.0010036677551870259), ('1690', 0.00096004757761089152), ('1730', 0.00099510772587828268)]"
2,Y1,10
"[('81', 0.16727182361630749), ('875', 0.15171971093119085), ('1610', 0.15998150103884093), ('1690', 0.14488252022419174), ('1730', 0.15911318488659423)]"
"[('81', 0.0010758981214346931), ('875', 0.0010278663463180874), ('1610', 0.0010500370619919918), ('1690', 0.0010007110827781535), ('1730', 0.0010479346010490191)]"
2,Y1,11
"[('81', 0.15545774529400283), ('875', 0.14173032271090621), ('1610', 0.14942087800413226), ('1690', 0.13471038780976996), ('1730', 0.14865092238008387)]"
"[('81', 0.0010264192823976096), ('875', 0.00097854458061505216), ('1610', 0.0010043491856414487), ('1690', 0.00095289719350558717), ('1730', 0.0010013769439868349)]"
2,Y1,12
