Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.1376523446033247,0.0002579160868266316,0.6262314362309565,0.26292102410438795,70.12667814899723,0.22552076802357846,0.9956920294477595,0.009164579936473627,0.0007864552923961119,0.0003929106798999621,0.1376523446033247,0.0002579160868266316,70.12667814899723,0.22552076802357846,24.19673757501673,0.0900584076943897,-999,42.4261275717345,42
1,X,281,0.13228842086416492,0.00023242444771788984,0.8999993635603138,0.2524591439274813,79.14491784388025,0.24308485776023758,1.0584082260295131,0.05743153084174202,0.0007125584760882424,0.000369087917540233,0.13228842086416492,0.00023242444771788984,79.14491784388025,0.24308485776023758,26.244288247552177,0.09286293575005908,-999,70.01491760387705,42
1,X,872,0.13382519734163456,0.0002353575376239524,0.8999999983762003,0.030580234529748784,77.49670165173026,0.24352212555650254,1.1399371770729523,0.045334868041926435,0.0019252611875722747,0.00038337694675390243,0.13382519734163456,0.0002353575376239524,77.49670165173026,0.24352212555650254,25.996270391377983,0.09361327652398078,-999,64.14966687974967,42
1,X,1783,0.13114794304854083,0.00021459430385002858,0.5000134402912442,0.3890375757223837,80.13218173926845,0.23665888421505343,0.9996421986175656,0.000412194622542994,0.0015964118433205172,0.0003638095181812273,0.13114794304854083,0.00021459430385002858,80.13218173926845,0.23665888421505343,26.342584687995785,0.08894168865351484,-999,63.633886461309004,42
1,X,2063,0.13159434667458356,0.00021220853345026782,0.899999999031998,0.06632959820722939,79.49854590532449,0.22637723570709056,1.0730220974917422,0.050110931414345306,0.0016464876354717784,0.00033836976572863765,0.13159434667458356,0.00021220853345026782,79.49854590532449,0.22637723570709056,26.223240112488703,0.08581488612946168,-999,69.7931672267237,42
1,X,sum,9.924692215201489,358.02648605212283,0.7996085988907484,0.20404240670061713,-1.3281920834008645,1.8089206348551117,0.07116403720854803,1.2120343889860794,0.029049067415573886,22.501406057450293,9.924692215201489,358.02648605212283,-1.3281920834008645,1.8089206348551117,-33.042117313704175,1192.8209759222789,-999,3.671196019165486e-05,42
10,Y,41,0.1322927573291303,0.00025491042418358074,0.7551636758504439,0.10461098262479646,74.13074528253327,0.2429652639325468,0.9753191061237158,0.03732313331250364,-0.001852698831694015,0.0003723246465571799,0.1322927573291303,0.00025491042418358074,74.13074528253327,0.2429652639325468,24.58240496951479,0.0934615584611357,-999,58.49452185275307,42
10,Y,281,0.1225852711654957,0.0001997612132026143,0.5000137361890528,0.25545833328026646,82.69275522457508,0.24514429809045168,0.9979939752287649,0.0006030548115190659,-0.0019475236529656673,0.00033976468396890457,0.1225852711654957,0.0001997612132026143,82.69275522457508,0.24514429809045168,25.409474805293392,0.08595719017168499,-999,39.674355830819465,42
10,Y,872,0.12376468510616562,0.00021971381212787446,0.899999962391225,0.06140782973221581,82.06951626930282,0.2604312808426599,1.089438885553888,0.05260672108411568,-0.0012807492420105668,0.00035271087165161054,0.12376468510616562,0.00021971381212787446,82.06951626930282,0.2604312808426599,25.460595020575116,0.09257777624342668,-999,53.78605293228695,42
10,Y,1783,0.12147036118200445,0.00019695271275836814,0.5000000001653155,0.08925172387574848,83.84969072036331,0.2523709150918805,0.9990706906383049,0.00043206034608150867,-0.0022066577587635475,0.00033852421584065724,0.12147036118200445,0.00019695271275836814,83.84969072036331,0.2523709150918805,25.530641190883713,0.08728291177978363,-999,48.74061233154097,42
10,Y,2063,0.12256801341468085,0.0001885053885265347,0.5427731237268025,0.09834446736744451,82.61851937904537,0.23400410000031258,0.9982221258153526,0.0021277940970164666,-0.0021904601312696223,0.00031170510687214596,0.12256801341468085,0.0001885053885265347,82.61851937904537,0.23400410000031258,25.38308995818217,0.08180884814812231,-999,94.26508749365556,42
10,Y,sum,11.37722362764455,485.55171699126373,0.8294984358827413,0.3616631697153129,-1.3430411721385127,7.795384868681835,0.020792910700185074,1.3496611980461355,0.05909944354929589,29.389260714890497,11.37722362764455,485.55171699126373,-1.3430411721385127,7.795384868681835,-38.301479956394324,1649.660602819928,-999,2.0203044005087968e-05,42
2,Y,41,0.13851736553120075,0.00027681672077145114,0.8999999342244085,0.26121347370602593,70.53857019929166,0.23874314512299577,0.9420214461864499,0.09453542622358152,0.0009096717009345098,0.00039397076821385814,0.13851736553120075,0.00027681672077145114,70.53857019929166,0.23874314512299577,24.4918059387231,0.0962657621731881,-999,36.5697438408893,42
2,Y,281,0.1278186800522264,0.00021866512725449974,0.5153423300604921,0.28322941815519564,79.6345753665326,0.24433652962484587,0.9979737007520105,0.00268972396105871,-0.00014366007415407903,0.00034883045495324826,0.1278186800522264,0.00021866512725449974,79.6345753665326,0.24433652962484587,25.514433565746433,0.08963025345779697,-999,48.984614968589895,42
