Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.13797006960658215,0.00035061846525379195,1.0000001948948831,0.04352291971175387,69.94297714662592,0.23270894664643293,0.9947895968109461,0.7443721578965623,0.0007946489204468293,0.00039360366463376287,0.3385424348729885,0.027918537858382053,0.13797006960658215,0.00035061846525379195,69.94297714662592,0.23270894664643293,24.189056661783965,0.10127036589047657,0,32.80828739119998,19
1,X,281,0.132699189979636,0.00032415193165316803,1.000005743493999,0.042769421169416955,78.9973287653325,0.2528179957641754,0.995461617930534,0.7422948342423086,0.0007278655670640247,0.0003688229792391848,0.33182827516698055,0.026968599394490728,0.132699189979636,0.00032415193165316803,78.9973287653325,0.2528179957641754,26.276687262042767,0.10579169990738371,0,28.921837144201913,19
1,X,872,0.13394049141550263,0.0003380984620769775,1.0000002385680218,0.014103234470646375,77.5454337940483,0.2550816936947058,0.9638956404247763,0.5970514235233282,0.001930426607929943,0.00038460328215689503,0.3442605959530742,0.030096763325078518,0.13394049141550263,0.0003380984620769775,77.5454337940483,0.2550816936947058,26.035028172375814,0.10795052329422297,0,35.89149279326819,19
1,X,1783,0.13118005169615438,0.0003292146697285067,1.000013608697945,0.04293648312908571,80.10177409623596,0.25679911024989366,0.9958243528943471,0.7410994804111781,0.001598916043597241,0.00036387040416841203,0.42517443529852184,0.03411136358308625,0.13118005169615438,0.0003292146697285067,80.10177409623596,0.25679911024989366,26.339035452257807,0.10723628018961531,0,34.405453400588044,19
1,X,2063,0.13187503361731068,0.0002971050882796107,0.9999998263156147,0.01459860915120037,79.41590462435342,0.2372682127710135,0.8062421872226854,0.76748767427354,0.0016557294010372788,0.00033822918341660683,0.32987688040820357,0.02622716323090879,0.13187503361731068,0.0002971050882796107,79.41590462435342,0.2372682127710135,26.25185548532833,0.09823189774827332,0,33.13696240084317,19
1,X,sum,31.51221904811854,0.0002464971319223617,1.839958904444313,0.0002139860906805009,-1.6753932806320875,6.317376742109001e-05,0.9393429841502233,0.00014001593756049585,0.1499066148658273,0.0002464950862141893,0.36858059385629693,7.400789247720848e-05,31.51221904811854,0.0002464971319223617,-1.6753932806320875,6.317376742109001e-05,-132.3383422732214,0.00509630275734767,0,5.772285294889526e-07,19
10,Y,41,0.1323830719648147,0.0003327083822661807,1.0000042293135825,0.029101359629505108,73.97731892617324,0.2453777401983146,0.9900000752272974,0.755934378914308,-0.0018429723074937844,0.0003723510395512649,0.38029281543002125,0.02842354474968467,0.1323830719648147,0.0003327083822661807,73.97731892617324,0.2453777401983146,24.548274816379852,0.1021583932152137,0,31.752088650497438,19
10,Y,281,0.12240609248643952,0.00029827278724581653,1.00004824796567,0.03158958958070068,82.69249356062286,0.2671745576372331,0.9900070055904189,0.7559204445008177,-0.0019387511053091445,0.00034000234747953153,0.3989714643807708,0.029225502430572925,0.12240609248643952,0.00029827278724581653,82.69249356062286,0.2671745576372331,25.372254363540144,0.10267684327271683,0,18.617622857118945,19
10,Y,872,0.12367685254013201,0.00029272837937363057,1.0000055894388022,0.023404898863306434,82.16189616052124,0.2718403389344317,0.9900002830906365,0.7559339610649879,-0.0012884432499615218,0.00035281169594221035,0.32045432301491533,0.024965549273840648,0.12367685254013201,0.00029272837937363057,82.16189616052124,0.2718403389344317,25.47116516614249,0.10361762030291347,0,27.35881332995261,19
10,Y,1783,0.12150232843596345,0.0002948141287666182,1.000061072980037,0.029795050484315133,83.78972984103893,0.2725660933237748,0.9900069599161607,0.7559205364917629,-0.0022030365705545296,0.0003383843162240754,0.3969201681134068,0.030569766966930007,0.12150232843596345,0.0002948141287666182,83.78972984103893,0.2725660933237748,25.5190983128245,0.10356263122904591,0,27.103326563505725,19
