Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,1,0.1349898678153262,4.184809402048924e-10,1.0028024123336143,9.432632671082619,0.004155913801561264,2.2146955276636238e-11,4.440892098500626e-16,5.551473844511712e-08,-0.0053328522941826955,7.321305139851364e-10,5.132141850661132e-06,8.709005738793962e-13,0.1349898678153262,4.184809402048924e-10,0.004155913801561264,2.2146955276636238e-11,0.001406234140337636,8.6696405477952e-12,0,53.846298743242656,19
1,X,51,0.12618018239590642,0.0004160022899527091,1.4293266932199271,0.39123927426063443,0.005244591046415614,2.2584688130640115e-05,0.028708716853362848,0.053322924686170586,-0.003932500822442771,0.0004071325073307969,3.5688686859103314e-06,1.4077575811038967e-06,0.12618018239590642,0.0004160022899527091,0.005244591046415614,2.2584688130640115e-05,0.0016587949869910138,8.996352565246188e-06,0,29.514736001956972,19
1,X,91,0.1282144894250412,0.00079068610094091,1.8396112427077012,0.8164739608769548,0.005056617101232738,2.291805864753152e-05,0.014997689897991162,0.020603678449672175,-0.003324309409257136,0.00046577714948793463,2.950847403260237e-06,5.3140288238801014e-06,0.1282144894250412,0.00079068610094091,0.005056617101232738,2.291805864753152e-05,0.001625126269394431,1.2437507706628754e-05,0,16.95474447221282,19
1,X,131,0.1274239153355835,0.0004848896167469053,1.5237340140446205,0.18169500846428488,0.005179142090069421,2.293794944202565e-05,0.060605004668749796,0.04289606737464563,-0.0034075736944137926,0.0004443669060851297,3.4136633476622436e-06,2.1471602408840162e-06,0.1274239153355835,0.0004848896167469053,0.005179142090069421,2.293794944202565e-05,0.0016542407150525547,9.659370097480466e-06,0,8.412129546036352,19
1,X,171,0.12811657882631436,0.0005848565577035544,1.6598352500663272,0.39196238977592035,0.005071352984322888,2.6046201448791297e-05,0.026185662144797117,0.025116032051857612,-0.0036335119785730146,0.00046035538129362896,5.730654393354406e-06,3.340981356583783e-06,0.12811657882631436,0.0005848565577035544,0.005071352984322888,2.6046201448791297e-05,0.001628617537650528,1.1191042895230628e-05,0,28.06981503620037,19
1,X,211,0.12680599244497748,0.0003005495724494544,1.0008078430371405,0.0011764888392563622,0.005209904069874608,2.019087406691586e-05,0.7670630599464596,0.6161436333348331,-0.0038970584424777807,0.0003818952614695423,7.992924410116231e-06,6.87215349737258e-07,0.12680599244497748,0.0003005495724494544,0.005209904069874608,2.019087406691586e-05,0.0016559965904310915,7.522848570688832e-06,0,34.665110447890974,19
1,X,251,0.12668336974981245,0.00047343884424565826,1.7501142566348231,0.6763191300422317,0.005196360859089949,2.3222946015100283e-05,0.010078470300541764,0.01405239373283168,-0.0038760409895811265,0.000455197583491381,5.930809795745562e-06,2.8204670911857743e-06,0.12668336974981245,0.00047343884424565826,0.005196360859089949,2.3222946015100283e-05,0.0016500946036683381,9.61301504253427e-06,0,17.879999618910578,19
1,X,291,0.12591346130015835,0.0004588673277050036,1.3561628855086603,0.19663290667586297,0.0052699222653703305,2.5824715923981802e-05,0.07699033505069625,0.0954391466341327,-0.002881870629359966,0.0004382960183049498,5.594426570026956e-06,1.3700793178167414e-06,0.12591346130015835,0.0004588673277050036,0.0052699222653703305,2.5824715923981802e-05,0.0016632836021989283,1.015759466384072e-05,0,36.98427468753623,19
1,X,771,0.12562017698842853,0.0004942928152566168,1.8042154257138134,0.6573361321018095,0.005264872377660861,1.9375645607808828e-05,0.012486733474368517,0.015158885333172917,-0.004237428379142397,0.00038105952458539286,2.5105999370278465e-06,3.3420282560953085e-06,0.12562017698842853,0.0004942928152566168,0.005264872377660861,1.9375645607808828e-05,0.0016578192695889317,8.931706497425912e-06,0,24.672603849302927,19
1,X,811,0.1267808377937659,0.00041889703105653115,1.6003018406611167,0.35510591582854223,0.005183377643615343,2.024502843634519e-05,0.020374418155447105,0.021656865044548168,-0.003991654422489307,0.0004058448113570706,3.592607108665602e-06,1.852562818191461e-06,0.1267808377937659,0.00041889703105653115,0.005183377643615343,2.024502843634519e-05,0.0016472381909427448,8.42704604614823e-06,0,13.202752573589024,19
