"ScanNumber, ScanNames, ScanPointNumber, avrgdcct1, avrgdcct2, sum(avrgfbctB1), sum(avrgfbctB2), fbct1 per Bx, fbct2 per BX"
Scan_1
1,X1,1,3151670355090.2856,3205901969310.476,3144999338959.2388,3207346003382.8579,"{'604': 68706974378.666664, '2269': 70030971075.047623, '2429': 73384798890.666672, '764': 73349390726.095245, '3000': 75400558689.523804, '1906': 65254815256.380951, '3040': 64861918549.333336, '81': 72073055670.857147, '2309': 66131074096.761902, '1': 76437633121.523804, '2834': 68485644483.047623, '1055': 71950463951.238098, '2549': 70815397985.523804, '2874': 71351613927.619049, '2349': 69875247786.666672, '41': 71360654384.761902, '524': 70814904124.952377, '1255': 68977292629.333328, '2509': 74701604376.380951, '2389': 66801052135.619049, '3080': 70011361767.619049, '1295': 69879365241.904755, '1095': 71928215259.428574, '1175': 70851989699.047623, '2914': 80337749138.285721, '1215': 75034974695.619049, '1335': 72105414851.047623, '2629': 74365835751.619049, '564': 65019019849.14286, '2469': 83046670336.0, '1135': 70553161532.952377, '121': 76032376441.904755, '2589': 72805129069.714279, '1786': 70440895244.190475, '1866': 69825690867.809525, '2954': 72568812495.238098, '484': 71779102524.952377, '844': 76872520655.238098, '1826': 67585489773.714287, '724': 74300353194.666672, '644': 71844891306.666672, 'sum': 1584759680633.9048, '684': 70611148409.904755, '3120': 72792000024.380951, '804': 63642104588.190475}","{'2269': 73015055311.238098, '2349': 73288349793.523804, '1695': 73429339184.761902, '764': 80324359509.333328, '81': 70061764412.952377, '2309': 68248056198.095238, '972': 79510623573.333328, '2146': 75156122672.761902, '2226': 82595535725.714279, 'sum': 1602538190555.4282, '1615': 78961887524.571426, '1735': 75030588464.761902, '1535': 75179474944.0, '41': 68120918698.666664, '1': 70386788644.571426, '1255': 74367047777.523804, '1375': 64843430375.619049, '281': 77710152655.238098, '932': 70764664149.333328, '1012': 72883988772.571426, '1295': 69491106182.095245, '201': 70048626005.333328, '892': 69188326351.238098, '2914': 72556020102.095245, '1215': 74963927820.190475, '1335': 67045475474.285713, '2629': 72123995867.428574, '2589': 69547295500.190475, '121': 70629058072.380951, '241': 71889740946.285721, '1495': 70186961188.571426, '2954': 79110661266.285721, '2834': 72334678893.714279, '161': 67547787654.095238, '2389': 78849427748.571426, '2106': 73952730355.809525, '1455': 69017953816.380951, '724': 78103869927.619049, '644': 74259062393.904755, '2874': 73104480353.523804, '684': 72606790607.238098, '1655': 69790055667.809525, '1415': 70444034730.666672, '1575': 78196799195.428574, '2186': 68478988873.14286}"
1,X1,2,3151526140313.6,3205764533452.8,3144832371097.6006,3207215407513.6001,"{'604': 68702509670.400002, '2269': 70028072140.800003, '2429': 73381969510.399994, '764': 73335195238.399994, '3000': 75395107225.600006, '1906': 65249365811.199997, '3040': 64856660787.199997, '81': 72069810176.0, '2309': 66128807936.0, '1': 76434132582.399994, '2834': 68480707788.800003, '1055': 71949582745.600006, '2549': 70808640307.199997, '2874': 71347470336.0, '2349': 69871940403.199997, '41': 71353835929.600006, '524': 70808064819.199997, '1255': 68975403008.0, '2509': 74699411456.0, '2389': 66800908492.800003, '3080': 70006984294.399994, '1295': 69878011494.399994, '1095': 71928627609.600006, '1175': 70852433100.800003, '2914': 80327750451.199997, '1215': 75036232089.600006, '1335': 72106223206.399994, '2629': 74362931609.600006, '564': 65018248192.0, '2469': 83043404185.600006, '1135': 70548205158.399994, '121': 76032018841.600006, '2589': 72801476608.0, '1786': 70436574822.399994, '1866': 69825163673.600006, '2954': 72565447475.199997, '484': 71773358899.199997, '844': 76866817638.399994, '1826': 67582158643.199997, '724': 74295832985.600006, '644': 71836875571.199997, 'sum': 1584675431424.0, '684': 70606347059.199997, '3120': 72784347545.600006, '804': 63639303577.599998}","{'2269': 73008949657.600006, '2349': 73285681971.199997, '1695': 73426368102.399994, '764': 80323775283.199997, '81': 70058831872.0, '2309': 68239843532.800003, '972': 79509488844.800003, '2146': 75157542092.800003, '2226': 82598409420.800003, 'sum': 1602468460134.4001, '1615': 78955467980.800003, '1735': 75024710451.199997, '1535': 75176348467.199997, '41': 68117084569.599998, '1': 70378117120.0, '1255': 74361399705.600006, '1375': 64841667788.800003, '281': 77707353702.399994, '932': 70765983334.399994, '1012': 72880311500.800003, '1295': 69481227878.399994, '201': 70048995328.0, '892': 69186023833.600006, '2914': 72558342553.600006, '1215': 74960578150.399994, '1335': 67038726348.800003, '2629': 72120602624.0, '2589': 69540234854.399994, '121': 70622529126.399994, '241': 71883806310.399994, '1495': 70180261068.800003, '2954': 79114431283.199997, '2834': 72334646476.800003, '161': 67538905292.800003, '2389': 78842612121.600006, '2106': 73953126400.0, '1455': 69016220876.800003, '724': 78106603929.600006, '644': 74259688652.800003, '2874': 73106354585.600006, '684': 72608197836.800003, '1655': 69788177612.800003, '1415': 70436614963.199997, '1575': 78193670963.199997, '2186': 68477493043.199997}"
1,X1,3,3151434245734.4,3205777312972.8,3144774334054.3999,3207233363353.5996,"{'604': 68698255360.0, '2269': 70025444147.199997, '2429': 73378560000.0, '764': 73339385446.399994, '3000': 75396592844.800003, '1906': 65252790886.400002, '3040': 64861288857.599998, '81': 72069106892.800003, '2309': 66124362956.800003, '1': 76429679411.199997, '2834': 68476966297.599998, '1055': 71944829747.199997, '2549': 70807808819.199997, '2874': 71348915404.800003, '2349': 69866451353.600006, '41': 71352367513.600006, '524': 70807056384.0, '1255': 68973268172.800003, '2509': 74699028889.600006, '2389': 66796867584.0, '3080': 70008392908.800003, '1295': 69875370803.199997, '1095': 71921976524.800003, '1175': 70846086758.399994, '2914': 80328970649.600006, '1215': 75029941452.800003, '1335': 72100745625.600006, '2629': 74359343513.600006, '564': 65019535769.599998, '2469': 83038431232.0, '1135': 70546731827.199997, '121': 76027824537.600006, '2589': 72801323827.199997, '1786': 70435921510.399994, '1866': 69823481446.399994, '2954': 72562682265.600006, '484': 71776559513.600006, '844': 76865753497.600006, '1826': 67583717171.199997, '724': 74296288460.800003, '644': 71840705331.199997, 'sum': 1584633965977.6003, '684': 70607954329.600006, '3120': 72787619430.399994, '804': 63639948697.599998}","{'2269': 73009845452.800003, '2349': 73284370022.399994, '1695': 73425445683.199997, '764': 80325573427.199997, '81': 70062116044.800003, '2309': 68242263859.199997, '972': 79509904998.399994, '2146': 75158775808.0, '2226': 82596985241.600006, 'sum': 1602471967334.4001, '1615': 78959395225.600006, '1735': 75028901068.800003, '1535': 75177742336.0, '41': 68118304768.0, '1': 70382404403.199997, '1255': 74363015987.199997, '1375': 64841293209.599998, '281': 77711474278.399994, '932': 70764557926.399994, '1012': 72883666124.800003, '1295': 69485029376.0, '201': 70046389862.399994, '892': 69182645862.399994, '2914': 72558972108.800003, '1215': 74956263014.399994, '1335': 67042199142.400002, '2629': 72118910156.800003, '2589': 69539469721.600006, '121': 70623045222.399994, '241': 71886945484.800003, '1495': 70180683366.399994, '2954': 79109865881.600006, '2834': 72333031014.399994, '161': 67544085299.199997, '2389': 78840838144.0, '2106': 73951755059.199997, '1455': 69013174681.600006, '724': 78105121587.199997, '644': 74258303385.600006, '2874': 73106672435.199997, '684': 72606352179.199997, '1655': 69787719680.0, '1415': 70438084198.399994, '1575': 78191039283.199997, '2186': 68480731340.800003}"
1,X1,4,3151247795814.4,3205758307532.8,3144570048716.8003,3207215840665.5996,"{'604': 68691595673.599998, '2269': 70025229516.800003, '2429': 73373668966.399994, '764': 73331975782.399994, '3000': 75393375846.399994, '1906': 65244797747.199997, '3040': 64852370636.800003, '81': 72062222745.600006, '2309': 66123901337.599998, '1': 76428858572.800003, '2834': 68477791232.0, '1055': 71944747008.0, '2549': 70800830464.0, '2874': 71341364019.199997, '2349': 69861237555.199997, '41': 71352963481.600006, '524': 70803113574.399994, '1255': 68970097049.600006, '2509': 74694406963.199997, '2389': 66793510912.0, '3080': 70003063193.600006, '1295': 69870920499.199997, '1095': 71920263987.199997, '1175': 70845473587.199997, '2914': 80321224294.399994, '1215': 75026076467.199997, '1335': 72095577702.399994, '2629': 74357730508.800003, '564': 65010820710.400002, '2469': 83035047936.0, '1135': 70543105228.800003, '121': 76021895577.600006, '2589': 72797835264.0, '1786': 70432252313.600006, '1866': 69817744179.199997, '2954': 72555135385.600006, '484': 71768208588.800003, '844': 76863999180.800003, '1826': 67574779494.400002, '724': 74289734041.600006, '644': 71833918259.199997, 'sum': 1584538675814.3999, '684': 70599475609.600006, '3120': 72783124889.600006, '804': 63634582732.800003}","{'2269': 73013290188.800003, '2349': 73285065113.600006, '1695': 73428123648.0, '764': 80320735232.0, '81': 70061411942.399994, '2309': 68243992985.599998, '972': 79509338931.199997, '2146': 75156730675.199997, '2226': 82590860492.800003, 'sum': 1602468877721.6001, '1615': 78960048537.600006, '1735': 75025088102.399994, '1535': 75176790425.600006, '41': 68122557440.0, '1': 70385598464.0, '1255': 74367620710.399994, '1375': 64842610278.400002, '281': 77712814489.600006, '932': 70767674572.800003, '1012': 72874618470.399994, '1295': 69485480755.199997, '201': 70046997299.199997, '892': 69178256588.800003, '2914': 72551847936.0, '1215': 74962937036.800003, '1335': 67040195788.800003, '2629': 72122785382.399994, '2589': 69538557132.800003, '121': 70627538124.800003, '241': 71886490009.600006, '1495': 70179413606.399994, '2954': 79108515840.0, '2834': 72328517632.0, '161': 67545569075.199997, '2389': 78841603276.800003, '2106': 73947382988.800003, '1455': 69016494489.600006, '724': 78101423308.800003, '644': 74253765427.199997, '2874': 73099837849.600006, '684': 72605600153.600006, '1655': 69786676838.399994, '1415': 70439825817.600006, '1575': 78194071961.600006, '2186': 68481085644.800003}"
1,X1,5,3151080665907.2,3205664984268.8,3144415022899.1997,3207144928256.0,"{'604': 68689273856.0, '2269': 70021325209.600006, '2429': 73374050713.600006, '764': 73321449472.0, '3000': 75386085785.600006, '1906': 65237684838.400002, '3040': 64847502540.800003, '81': 72063389696.0, '2309': 66124613427.199997, '1': 76428292915.199997, '2834': 68471956480.0, '1055': 71945170944.0, '2549': 70802648268.800003, '2874': 71334783795.199997, '2349': 69868205670.399994, '41': 71349835366.399994, '524': 70796365414.399994, '1255': 68966535577.600006, '2509': 74690775449.600006, '2389': 66792877260.800003, '3080': 69995199283.199997, '1295': 69870816460.800003, '1095': 71920051404.800003, '1175': 70841932595.199997, '2914': 80316253798.399994, '1215': 75026068275.199997, '1335': 72091707801.600006, '2629': 74356389888.0, '564': 65006736384.0, '2469': 83035458355.199997, '1135': 70544229580.800003, '121': 76017812275.199997, '2589': 72802958540.800003, '1786': 70426752614.399994, '1866': 69810411520.0, '2954': 72548072652.800003, '484': 71762504499.199997, '844': 76853598617.600006, '1826': 67569936588.800003, '724': 74283569561.600006, '644': 71827816448.0, 'sum': 1584479155404.7998, '684': 70594424832.0, '3120': 72772544512.0, '804': 63626953728.0}","{'2269': 73010651545.600006, '2349': 73286597427.199997, '1695': 73425894195.199997, '764': 80315415756.800003, '81': 70059007180.800003, '2309': 68241796915.199997, '972': 79506744524.800003, '2146': 75154810470.399994, '2226': 82589666508.800003, 'sum': 1602419600384.0, '1615': 78960043622.399994, '1735': 75026193203.199997, '1535': 75175102873.600006, '41': 68121559040.0, '1': 70384554803.199997, '1255': 74359855923.199997, '1375': 64840599552.0, '281': 77709306675.199997, '932': 70763755110.399994, '1012': 72874727014.399994, '1295': 69485114163.199997, '201': 70045691084.800003, '892': 69178981171.199997, '2914': 72550976307.199997, '1215': 74961129881.600006, '1335': 67042335129.599998, '2629': 72121895321.600006, '2589': 69538861465.600006, '121': 70624772096.0, '241': 71890420531.199997, '1495': 70179184230.399994, '2954': 79104638156.800003, '2834': 72326406963.199997, '161': 67546524262.400002, '2389': 78838779494.399994, '2106': 73949711974.399994, '1455': 69015493836.800003, '724': 78098004787.199997, '644': 74250327654.399994, '2874': 73097888972.800003, '684': 72599031398.399994, '1655': 69785268633.600006, '1415': 70437294899.199997, '1575': 78193400627.199997, '2186': 68476512870.400002}"
1,X1,6,3150902407987.2,3205524842086.4,3144219494400.0005,3206981044223.9995,"{'604': 68686566195.199997, '2269': 70013275340.800003, '2429': 73367803494.399994, '764': 73321058304.0, '3000': 75385657753.600006, '1906': 65237656780.800003, '3040': 64844522700.800003, '81': 72053827993.600006, '2309': 66117627494.400002, '1': 76420337664.0, '2834': 68470344499.199997, '1055': 71934376755.199997, '2549': 70795243520.0, '2874': 71333989171.199997, '2349': 69855964364.800003, '41': 71341156761.600006, '524': 70794952704.0, '1255': 68963074457.600006, '2509': 74688008601.600006, '2389': 66783536537.599998, '3080': 69993559654.399994, '1295': 69862151782.399994, '1095': 71913517056.0, '1175': 70836670054.399994, '2914': 80313411584.0, '1215': 75020387942.399994, '1335': 72084906393.600006, '2629': 74348199936.0, '564': 65007338291.199997, '2469': 83025309286.399994, '1135': 70534236979.199997, '121': 76016019865.600006, '2589': 72788366131.199997, '1786': 70425834700.800003, '1866': 69812990361.600006, '2954': 72548889395.199997, '484': 71761338368.0, '844': 76851086950.399994, '1826': 67567914803.199997, '724': 74280745779.199997, '644': 71826138726.399994, 'sum': 1584358024192.0, '684': 70594614067.199997, '3120': 72770157772.800003, '804': 63626727424.0}","{'2269': 73007804825.600006, '2349': 73281316454.399994, '1695': 73423126937.600006, '764': 80312341708.800003, '81': 70056146944.0, '2309': 68237469081.599998, '972': 79503543500.800003, '2146': 75150274150.399994, '2226': 82588831744.0, 'sum': 1602337842175.9998, '1615': 78954420224.0, '1735': 75020478464.0, '1535': 75169694515.199997, '41': 68115893043.199997, '1': 70383225241.600006, '1255': 74356363673.600006, '1375': 64832984064.0, '281': 77706401382.399994, '932': 70760865792.0, '1012': 72867657318.399994, '1295': 69483217305.600006, '201': 70046143692.800003, '892': 69174220390.399994, '2914': 72548144332.800003, '1215': 74956835635.199997, '1335': 67037845504.0, '2629': 72117457715.199997, '2589': 69536342835.199997, '121': 70617894092.800003, '241': 71880001126.399994, '1495': 70177884160.0, '2954': 79097205145.600006, '2834': 72320195788.800003, '161': 67543043276.800003, '2389': 78837992652.800003, '2106': 73945304678.399994, '1455': 69014592307.199997, '724': 78092835225.600006, '644': 74248149401.600006, '2874': 73095878246.399994, '684': 72597287321.600006, '1655': 69781673574.399994, '1415': 70436089856.0, '1575': 78189497958.399994, '2186': 68476472934.400002}"
1,X1,7,3150874373558.857,3205568684422.095,3144205255436.1914,3207009327786.6665,"{'604': 68686672457.14286, '2269': 70013810395.428574, '2429': 73366014244.571426, '764': 73326272512.0, '3000': 75387295841.523804, '1906': 65238144341.333336, '3040': 64850789327.238098, '81': 72053485763.047623, '2309': 66112741180.952377, '1': 76421843626.666672, '2834': 68470983143.619049, '1055': 71935101220.571426, '2549': 70796172531.809525, '2874': 71335901671.619049, '2349': 69850770870.857147, '41': 71341919670.857147, '524': 70795508979.809525, '1255': 68958269635.047623, '2509': 74683659995.428574, '2389': 66779669650.285713, '3080': 69997076089.904755, '1295': 69863456768.0, '1095': 71912746422.857147, '1175': 70832917552.761902, '2914': 80309888926.476196, '1215': 75019097819.428574, '1335': 72083913971.809525, '2629': 74345169286.095245, '564': 65008244638.476189, '2469': 83025298578.285721, '1135': 70534756449.523804, '121': 76011507907.047623, '2589': 72788174360.380951, '1786': 70428646643.809525, '1866': 69811278019.047623, '2954': 72545974759.619049, '484': 71762629193.142853, '844': 76850448286.476196, '1826': 67569004544.0, '724': 74279127722.666672, '644': 71828301726.476196, 'sum': 1584331305935.2383, '684': 70591024566.857147, '3120': 72772038851.047623, '804': 63629505292.190475}","{'2269': 73007704746.666672, '2349': 73287083544.380951, '1695': 73424794575.238098, '764': 80310960128.0, '81': 70061676641.523804, '2309': 68241099239.619049, '972': 79503337764.571426, '2146': 75150013001.142853, '2226': 82589003190.857147, 'sum': 1602340180748.1907, '1615': 78955851580.952377, '1735': 75022763544.380951, '1535': 75172739949.714279, '41': 68116853711.238098, '1': 70383106535.619049, '1255': 74360444245.333328, '1375': 64837642922.666664, '281': 77709614713.904755, '932': 70759333888.0, '1012': 72866982960.761902, '1295': 69485260214.857147, '201': 70045412790.857147, '892': 69179131026.285721, '2914': 72548225219.047623, '1215': 74957259922.285721, '1335': 67037707507.809525, '2629': 72118721779.809525, '2589': 69535873121.523804, '121': 70619485135.238098, '241': 71889543948.190475, '1495': 70172339638.857147, '2954': 79091671820.190475, '2834': 72321622406.095245, '161': 67547300035.047623, '2389': 78832073971.809525, '2106': 73939749546.666672, '1455': 69014531120.761902, '724': 78089855366.095245, '644': 74244867998.476196, '2874': 73094325784.380951, '684': 72594301708.190475, '1655': 69784870521.904755, '1415': 70441298602.666672, '1575': 78191821970.285721, '2186': 68471069744.761902}"
1,X1,8,3150737134933.3335,3205516093342.476,3144041839274.6665,3206981093473.5249,"{'604': 68678670823.619049, '2269': 70010774674.285721, '2429': 73366135954.285721, '764': 73312135070.476196, '3000': 75379174448.761902, '1906': 65231231073.523811, '3040': 64841152609.523811, '81': 72054247619.047623, '2309': 66111888432.761902, '1': 76420154124.190475, '2834': 68465019562.666664, '1055': 71932636208.761902, '2549': 70792547766.857147, '2874': 71330392746.666672, '2349': 69853384899.047623, '41': 71342763056.761902, '524': 70790814573.714279, '1255': 68960823978.666672, '2509': 74685111149.714279, '2389': 66776498566.095238, '3080': 69989841773.714279, '1295': 69863927612.952377, '1095': 71913393980.952377, '1175': 70835104816.761902, '2914': 80302881645.714279, '1215': 75018916035.047623, '1335': 72083520755.809525, '2629': 74342389467.428574, '564': 65003590217.14286, '2469': 83023671881.142853, '1135': 70530944438.857147, '121': 76010232685.714279, '2589': 72788849225.142853, '1786': 70419430643.809525, '1866': 69808706511.238098, '2954': 72543104048.761902, '484': 71756083785.142853, '844': 76845720332.190475, '1826': 67562453674.666664, '724': 74274175463.619049, '644': 71818126482.285721, 'sum': 1584268463347.8098, '684': 70584257194.666672, '3120': 72765992374.857147, '804': 63620966887.619049}","{'2269': 73007539346.285721, '2349': 73281901129.142853, '1695': 73421238076.952377, '764': 80310898492.952377, '81': 70055614561.523804, '2309': 68241248256.0, '972': 79503657252.571426, '2146': 75150572787.809525, '2226': 82587917165.714279, 'sum': 1602316705987.0474, '1615': 78959396766.476196, '1735': 75022794752.0, '1535': 75169329737.142853, '41': 68119346809.904762, '1': 70383878144.0, '1255': 74360191463.619049, '1375': 64832191731.809525, '281': 77708007521.523804, '932': 70761550019.047623, '1012': 72870143902.476196, '1295': 69483788385.523804, '201': 70045779480.380951, '892': 69177872188.952377, '2914': 72545056475.428574, '1215': 74952479695.238098, '1335': 67036258304.0, '2629': 72114189653.333328, '2589': 69529882428.952377, '121': 70619809694.476196, '241': 71888148187.428574, '1495': 70175275495.619049, '2954': 79093569243.428574, '2834': 72319618486.857147, '161': 67547569980.952377, '2389': 78833890645.333328, '2106': 73944236032.0, '1455': 69012083273.142853, '724': 78092742070.857147, '644': 74244004717.714279, '2874': 73093347035.428574, '684': 72597450947.047623, '1655': 69782503424.0, '1415': 70438758692.571426, '1575': 78190537776.761902, '2186': 68474823241.14286}"
1,X1,9,3150558589903.2383,3205404120405.3335,3143868229144.3804,3206849712713.1426,"{'604': 68679431509.333336, '2269': 70007538834.285721, '2429': 73355445394.285721, '764': 73312185002.666672, '3000': 75377006689.523804, '1906': 65231171388.952377, '3040': 64841558698.666664, '81': 72045543814.095245, '2309': 66105677336.380951, '1': 76414712295.619049, '2834': 68461891388.952377, '1055': 71928521874.285721, '2549': 70787251443.809525, '2874': 71330148937.142853, '2349': 69844385792.0, '41': 71335080521.142853, '524': 70789990302.476196, '1255': 68951531129.904755, '2509': 74677985670.095245, '2389': 66771282407.619049, '3080': 69985407561.142853, '1295': 69854345313.523804, '1095': 71906875879.619049, '1175': 70827540480.0, '2914': 80305161362.285721, '1215': 75011966488.380951, '1335': 72080201045.333328, '2629': 74338674590.476196, '564': 65001065715.809525, '2469': 83019528289.523804, '1135': 70527619267.047623, '121': 75997186340.571426, '2589': 72783327036.952377, '1786': 70421624149.333328, '1866': 69802064359.619049, '2954': 72538442020.571426, '484': 71758049865.142853, '844': 76842809831.619049, '1826': 67561920024.380951, '724': 74271135061.333328, '644': 71816248953.904755, 'sum': 1584161836470.8572, '684': 70585170797.714279, '3120': 72763823055.238098, '804': 63619701223.619049}","{'2269': 72999224466.285721, '2349': 73280608743.619049, '1695': 73420329935.238098, '764': 80306363245.714279, '81': 70054699788.190475, '2309': 68233368722.285713, '972': 79501813272.380951, '2146': 75148830622.476196, '2226': 82587479478.857147, 'sum': 1602240105325.7144, '1615': 78951529325.714279, '1735': 75021624466.285721, '1535': 75168264387.047623, '41': 68114062384.761902, '1': 70380279125.333328, '1255': 74356677095.619049, '1375': 64827882349.714287, '281': 77704744764.952377, '932': 70760685958.095245, '1012': 72867324294.095245, '1295': 69480104326.095245, '201': 70046965760.0, '892': 69176318439.619049, '2914': 72543280761.904755, '1215': 74951033222.095245, '1335': 67037344914.285713, '2629': 72118112451.047623, '2589': 69531037891.047623, '121': 70613739812.571426, '241': 71884398592.0, '1495': 70169519640.380951, '2954': 79087422902.857147, '2834': 72315650438.095245, '161': 67542694375.619049, '2389': 78825197763.047623, '2106': 73941459334.095245, '1455': 69011863259.428574, '724': 78088248953.904755, '644': 74243025968.761902, '2874': 73089023219.809525, '684': 72591599128.380951, '1655': 69781913990.095245, '1415': 70434786352.761902, '1575': 78185626087.619049, '2186': 68473552700.952377}"
1,X1,10,3150383078253.7144,3205238195736.381,3143699555279.2383,3206691585267.8096,"{'604': 68676713520.761902, '2269': 70004228096.0, '2429': 73359897941.333328, '764': 73303890407.619049, '3000': 75371205583.238098, '1906': 65226019596.190475, '3040': 64836911104.0, '81': 72043183737.904755, '2309': 66101730352.761902, '1': 76412266788.571426, '2834': 68457053037.714287, '1055': 71928486765.714279, '2549': 70787223356.952377, '2874': 71318188617.142853, '2349': 69846666288.761902, '41': 71335392597.333328, '524': 70786168149.333328, '1255': 68953270954.666672, '2509': 74676515401.142853, '2389': 66771074291.809525, '3080': 69979244446.476196, '1295': 69854049621.333328, '1095': 71906926201.904755, '1175': 70826860934.095245, '2914': 80293746785.523804, '1215': 75011462875.428574, '1335': 72075525363.809525, '2629': 74337724318.476196, '564': 64993950183.619049, '2469': 83016713752.380951, '1135': 70526134564.571426, '121': 75996115139.047623, '2589': 72785581787.428574, '1786': 70415615902.476196, '1866': 69795410895.238098, '2954': 72527581769.142853, '484': 71748277199.238098, '844': 76838689255.619049, '1826': 67558625280.0, '724': 74258346959.238098, '644': 71808681106.285721, 'sum': 1584069973918.4763, '684': 70574213022.476196, '3120': 72758781464.380951, '804': 63615209862.095238}","{'2269': 72994359198.476196, '2349': 73275353770.666672, '1695': 73416511292.952377, '764': 80303712158.476196, '81': 70051249785.904755, '2309': 68235709098.666664, '972': 79498959335.619049, '2146': 75145494137.904755, '2226': 82582819791.238098, 'sum': 1602169650809.9045, '1615': 78949010480.761902, '1735': 75010857837.714279, '1535': 75162501510.095245, '41': 68112854064.761902, '1': 70376337212.952377, '1255': 74352505417.142853, '1375': 64827286674.285713, '281': 77699842438.095245, '932': 70759292537.904755, '1012': 72865109333.333328, '1295': 69476678899.809525, '201': 70035370179.047623, '892': 69173674764.190475, '2914': 72537861948.952377, '1215': 74943338983.619049, '1335': 67033014662.095238, '2629': 72109793670.095245, '2589': 69523723605.333328, '121': 70613116440.380951, '241': 71879579355.428574, '1495': 70164256865.523804, '2954': 79087108096.0, '2834': 72313762377.142853, '161': 67538705846.85714, '2389': 78822932089.904755, '2106': 73942149412.571426, '1455': 69009653369.904755, '724': 78087164879.238098, '644': 74242693607.619049, '2874': 73086536752.761902, '684': 72589844089.904755, '1655': 69779283577.904755, '1415': 70428664978.285721, '1575': 78180447183.238098, '2186': 68472463555.047623}"
