Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,51,0.12836762990686382,0.0,0.8243647306367334,0.05231519413468538,0.28029780250668795,0.0009699720086369379,0.8913711067230612,0.11248411874778586,-0.004032717552327381,0.0003203346519349952,0.12836762990686382,0.0,0.28029780250668795,0.0009699720086369379,0.0901914044800665,0.00031210782597280355,0,45.34610546998706,19
1,X,771,0.12736931707256474,0.0,0.7500838685096376,0.038326441117298604,0.28199257274246464,0.0009348007240078671,0.9411704187255507,0.0339915124994703,-0.0036778484289085043,0.0003091918604785651,0.12736931707256474,0.0,0.28199257274246464,0.0009348007240078671,0.09003107259927887,0.0002984515195932928,0,28.523271301279504,20
1,X,1631,0.1257668996891764,0.0,0.7809808658972872,0.07361826854623632,0.29114700433367635,0.001029499747289525,0.9529887660059795,0.054257562400516324,-0.003573028438452432,0.00032500767759096043,0.1257668996891764,0.0,0.29114700433367635,0.001029499747289525,0.0917843454747199,0.0003245506876761944,0,25.40351812745697,19
1,X,2211,0.1255930849504311,0.0,0.7578806398836574,0.04233610421048151,0.2895438534890451,0.0009724674082039753,0.941056926610172,0.03768804352511146,-0.003099905975944261,0.00031176503520280896,0.1255930849504311,0.0,0.2895438534890451,0.0009724674082039753,0.09115279972715125,0.00030614750005236296,0,59.2232379761539,18
1,X,2674,0.12279283557755022,0.0,0.6652793226174163,0.06181276822569204,0.30485373759852785,0.001084339035369919,0.984071224806641,0.011898905607721666,-0.00490713042563015,0.00032966548359692404,0.12279283557755022,0.0,0.30485373759852785,0.001084339035369919,0.09383275906096022,0.0003337552107701335,0,25.650846518959938,19
1,X,sum,3.22072235122646e-06,0.0,8.851091783775686,8.120189678330327,0.22000503539879004,3.7516056153691943,0.9999990463259867,0.711495981115567,-7.101597960724388e-05,1.4142135623730951,3.22072235122646e-06,0.0,0.22000503539879004,3.7516056153691943,1.7761344678188863e-06,3.028728879337621e-05,4,0.0,20
10,Y,51,0.11441476193469939,0.0,0.6518142392375987,0.04675359385195227,0.29068832164851427,0.0009902927341000345,0.9845639055400298,0.00878644016232405,-0.005155267571780398,0.00029937236470706924,0.11441476193469939,0.0,0.29068832164851427,0.0009902927341000345,0.08336803781525845,0.00028401127928508,0,33.78148981709444,18
10,Y,771,0.11440281883334749,0.0,0.6567467333302063,0.050734940296643216,0.29208187946093134,0.0009612812817425542,0.9867405333913797,0.00833504978294064,-0.0051766721161348025,0.00028958292143958027,0.11440281883334749,0.0,0.29208187946093134,0.0009612812817425542,0.0837589595839503,0.0002756621539647833,0,26.168812944310275,18
10,Y,1631,0.11265978765244543,0.0,0.5954918596830097,0.06931726151843581,0.301103879065768,0.0010581709043050724,0.992741170836398,0.005582679204042373,-0.004764033493353836,0.00030466616732423854,0.11265978765244543,0.0,0.301103879065768,0.0010581709043050724,0.08503059400658905,0.00029882345200174846,0,28.4608617260224,19
10,Y,2211,0.11304443702832002,0.0,0.5781955132348019,0.06254595001892532,0.29806441605873096,0.000996579561150679,0.9928831255005488,0.00465760721386832,-0.005137056019480477,0.00029337722597143524,0.11304443702832002,0.0,0.29806441605873096,0.000996579561150679,0.08445964683820759,0.0002823911652854836,0,27.86582342794349,17
10,Y,2674,0.11070247183896446,0.0,1.7163891717496476,0.2696430028807686,0.3130527580438004,0.0011203332488869955,0.003349503821017563,0.0036587055787870026,-0.005168576108203722,0.0003107697641613953,0.11070247183896446,0.0,0.3130527580438004,0.0011203332488869955,0.08686899291943163,0.00031088121271671256,0,26.473883724682835,19
10,Y,sum,1.0960514633588906e-05,0.0,1.0000000270498182,1.2008903869343172e-06,0.22000014540442975,8.5804199582939e-07,0.8088425825032755,1.8847726387067695e-07,-1.4316769895369967e-05,3.232670065952709e-07,1.0960514633588906e-05,0.0,0.22000014540442975,8.5804199582939e-07,6.044269889545354e-06,2.3573790780106258e-11,0,1.0450166204815505e-12,20
2,Y,51,0.11806102748851895,0.0,0.6281486849620339,0.0785162190021661,0.28275194686421157,0.0009378704891888634,0.9937022996723452,0.005732318429580885,-0.006785860527842156,0.0003052067012684833,0.11806102748851895,0.0,0.28275194686421157,0.0009378704891888634,0.08367622839468797,0.00027754880604126473,0,31.222224094538422,17
2,Y,771,0.11817886781914419,0.0,0.9999996507880241,0.0004958702760587408,0.28380043623484086,0.0008629732775473631,0.2864148060464978,0.855411543120293,-0.007504371542423954,0.0002950933629457652,0.11817886781914419,0.0,0.28380043623484086,0.0008629732775473631,0.08407034272492786,0.0002556389981931762,0,33.83849632542255,20
