Scan,Type,BCID,sigma,sigmaErr,Amp,AmpErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,1,0.13341625863313647,0.0,0.012294244162161613,2.5117501068443014e-05,0.001398640366209207,0.0002358221806006393,4.2070766083616705e-05,2.0151585761440916e-06,0.13341625863313647,0.0,0.012294244162161613,2.5117501068443014e-05,0.0041115021882047464,8.399919445473346e-06,0,34.93940011402424,21
1,X,41,0.1370326740511567,0.0,0.014661398641371077,2.4867391954233336e-05,0.0007394358145610915,0.00019158945468558618,4.434813325370046e-05,2.1135151020046376e-06,0.1370326740511567,0.0,0.014661398641371077,2.4867391954233336e-05,0.005036043457553414,8.541699848754803e-06,0,63.85984612415983,21
1,X,81,0.13587463290663018,0.0,0.015203554757355657,2.797820822675729e-05,0.0011528333911555823,0.00020026486743300384,4.509183984555076e-05,2.13269995983978e-06,0.13587463290663018,0.0,0.015203554757355657,2.797820822675729e-05,0.005178136093905308,9.529019507209533e-06,0,76.04825304732042,21
1,X,121,0.13616202431112698,0.0,0.015494573608750874,2.9166587450975023e-05,0.0008800570008955733,0.00021801183888053857,3.827307011760983e-05,1.8145793413471021e-06,0.13616202431112698,0.0,0.015494573608750874,2.9166587450975023e-05,0.005288415422607852,9.954777381770863e-06,0,40.34822712698323,21
1,X,161,0.13200514448676237,0.0,0.016392232558946854,2.7488323832377118e-05,0.0010317974336082954,0.0001765929959068295,3.864152184959113e-05,1.793731537992337e-06,0.13200514448676237,0.0,0.016392232558946854,2.7488323832377118e-05,0.00542399022040738,9.095551756360851e-06,0,44.693347041036446,21
1,X,201,0.13118002184971372,0.0,0.016351829731491484,2.6738945204697372e-05,0.000959734111628938,0.00017646406228791065,4.4703365002859984e-05,1.7472194136375363e-06,0.13118002184971372,0.0,0.016351829731491484,2.6738945204697372e-05,0.005376801323994607,8.79228797875469e-06,0,76.15562107192383,21
1,X,241,0.13216248704133007,0.0,0.016208790300306027,2.7887523313193553e-05,0.0008871673602959535,0.00019004314857276318,4.1704783429802327e-05,1.4460553438319641e-06,0.13216248704133007,0.0,0.016208790300306027,2.7887523313193553e-05,0.005369684145446467,9.23864082489838e-06,0,76.81264603467062,21
1,X,281,0.13128918186637153,0.0,0.016575118869474128,3.019803222042053e-05,0.00095768425788843,0.00017844402809345203,3.835067503936862e-05,1.879711730216616e-06,0.13128918186637153,0.0,0.016575118869474128,3.019803222042053e-05,0.0054547585017095624,9.937966314836104e-06,0,65.27416558306601,21
1,X,872,0.13250705253785172,0.0,0.016112758360689598,2.838312227434847e-05,0.0010037091212897421,0.00018604842379322154,3.869604512885705e-05,1.8495927703723911e-06,0.13250705253785172,0.0,0.016112758360689598,2.838312227434847e-05,0.00535178702162434,9.427338387425168e-06,0,100.6596291743652,21
1,X,912,0.13151704916061838,0.0,0.0161537525426337,2.7778771469592267e-05,0.0013407663487136835,0.00019421730908030836,4.153897650611027e-05,1.8323097927308583e-06,0.13151704916061838,0.0,0.0161537525426337,2.7778771469592267e-05,0.005325316396999245,9.157670752049046e-06,0,60.23765447991491,21
1,X,952,0.13062820435542877,0.0,0.01637502004594303,2.6000845195109574e-05,0.0011207122301160023,0.00016692213765333178,4.3608138345461734e-05,1.6881255802347908e-06,0.13062820435542877,0.0,0.01637502004594303,2.6000845195109574e-05,0.005361776803234032,8.513621860643588e-06,0,84.99724218318975,21
