XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,25909.34716113511,45.686202459575,0.04255031875314367,7.502938862896483e-05
1_2,XY,2211,25851.492240094867,59.13346881850376,0.042645545183743375,9.754868279749748e-05
1_2,XY,771,25906.08942461936,58.251833008786235,0.04255566953090433,9.56896934330626e-05
1_2,XY,sum,-0.0002295079219661957,-4.47650425948041e-10,-4803542.165113312,-9.369209035795587
1_2,XY,51,25956.638074349597,63.01618274319838,0.042472795484312015,0.00010311325504433462
1_2,XY,2674,25911.69283980363,64.51076432555803,0.04254646684830461,0.00010592534855615196
4_3,XY,1631,26019.877141662237,63.22831919493256,0.0423695690179469,0.00010295808160173854
4_3,XY,2211,25998.265023727454,59.06934802411414,0.04240479044990114,9.634578779348553e-05
4_3,XY,771,25916.5577096183,58.433030951743106,0.042538480331553025,9.590981818280843e-05
4_3,XY,sum,-0.0002295079219661957,-4.47650425948041e-10,-4803542.165113312,-9.369209035795587
4_3,XY,51,25977.991202354162,60.93496278635711,0.042437884122936004,9.954391275367351e-05
4_3,XY,2674,25856.024806805573,64.49979323575842,0.042638069410498886,0.00010636386225253106
5_6,XY,1631,25468.167987469744,62.861826191255766,0.04328740806698618,0.00010684417990000823
5_6,XY,2211,25445.780479872985,62.41374068960031,0.043325492855845776,0.00010626933131380165
5_6,XY,771,25581.196736271846,57.672352702204314,0.04309614564782969,9.715949326104229e-05
5_6,XY,sum,2.129993704307327e-05,4.236479038779491e-05,51758414.973844886,102945581.3290547
5_6,XY,51,25544.52225119687,62.16294770053833,0.04315801914598353,0.00010502563565873322
5_6,XY,2674,25617.18611112835,65.40825526710125,0.043035600225945256,0.00010988261993102885
7_8,XY,1631,26037.42940648215,65.37797382359611,0.04234100698580084,0.00010631499765845692
7_8,XY,2211,25904.238028518113,62.628182933010386,0.04255871101780576,0.00010289338509327852
7_8,XY,771,25877.135581046176,59.883868269684044,0.042603284932342056,9.859087744676273e-05
7_8,XY,sum,7.219212429696332e-06,1.331442208687977e-05,152710699.55736575,281644948.23917764
7_8,XY,51,26014.869343511786,62.81201574595401,0.04237772505542538,0.00010231957340669712
7_8,XY,2674,25921.243530339696,68.66271123289262,0.04253079058887687,0.00011265969509883345
9_10,XY,1631,25957.09003507469,65.10218638506244,0.042472055954749274,0.0001065228690576113
9_10,XY,2211,25887.70774858838,62.03574506977692,0.04258588636347195,0.0001020502554985345
9_10,XY,771,25960.82367897056,60.779187792152136,0.042465947691990684,9.942079810179424e-05
9_10,XY,sum,-0.0002295079219661957,-4.47650425948041e-10,-4803542.165113312,-9.369209035795587
9_10,XY,51,25919.091268735432,63.170152225620676,0.04253432224770836,0.0001036648848272848
9_10,XY,2674,26083.57368823153,66.52533185492383,0.04226610178380443,0.00010779835926586241
