Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.13964504492448027,0.00035242360729509066,1.0000005344938145,0.993705603862935,70.47573770032895,0.23444749883253735,0.9947789559353528,0.07593677378750135,0.0008027614061033192,0.00039698549416397063,0.3385852338419201,0.027025864208181316,0.13964504492448027,0.00035242360729509066,70.47573770032895,0.23444749883253735,24.669201638255288,0.1030087758427228,0,32.344844767717085,19
1,X,281,0.13432696344826175,0.00032906605685468815,1.0000058890860433,0.042619213069642115,79.6029918582555,0.2559238033213802,0.9954504942554626,0.7423306113075334,0.0007366702040092799,0.0003735619361501993,0.3319044324891886,0.02724310775024899,0.13432696344826175,0.00032906605685468815,79.6029918582555,0.2559238033213802,26.802945446034414,0.10833650785193152,0,29.24007185506559,19
1,X,872,0.13557569545098705,0.0003411569329384698,1.000001405057715,0.026800825939357675,78.1383645725391,0.2565052686544007,0.9900000210170516,0.7559344878874191,0.0019523833658158657,0.0003838454046034599,0.3437469185845126,0.031179378300215138,0.13557569545098705,0.0003411569329384698,78.1383645725391,0.2565052686544007,26.554375504308446,0.10983441038066266,0,37.893254254979205,19
1,X,1783,0.13279329341171295,0.00033282800097901333,1.0000057310491712,0.027770363670593656,80.71825251098518,0.2590652664208051,0.9900001958460077,0.7559341364465738,0.0016186376099750642,0.0003676920244153234,0.4244666815476505,0.03433265662663021,0.13279329341171295,0.00033282800097901333,80.71825251098518,0.2590652664208051,26.868153905838795,0.10941225970289412,0,35.43558700264051,19
1,X,2063,0.13351118807767381,0.00030028341492022067,1.0000032597849668,0.028167244288708093,80.0270958269995,0.2390067723102689,0.9900000873825021,0.7559343544801241,0.0016789873031288988,0.0003421053177579044,0.3296471163568065,0.026418677641792176,0.13351118807767381,0.00030028341492022067,80.0270958269995,0.2390067723102689,26.782101489762738,0.1001313412196473,0,34.652972238787825,19
1,X,sum,36.062435722136286,0.0004925846945543135,1.0700070014714145,0.00041293862437806364,-2.1341847816456974,0.00018602660841998385,0.7015904632885224,0.000282499721377166,0.7280036634486002,0.000492581557647999,0.817715296667922,0.00018839508297339769,36.062435722136286,0.0004925846945543135,-2.1341847816456974,0.00018602660841998385,-192.91989164401193,0.01702111496458768,0,2.3050795099225327e-06,19
10,Y,41,0.13328176697953395,0.00033450593081398527,1.0000041138998905,0.029038160848249783,74.52406999060406,0.24552318918577498,0.9900000721097175,0.7559343851811458,-0.0018542286031589619,0.00037475824955997343,0.3804583926667458,0.028482200831240034,0.13328176697953395,0.00033450593081398527,74.52406999060406,0.24552318918577498,24.897585988778786,0.1031162105386763,0,31.455650883051273,19
10,Y,281,0.12326173688189432,0.00030100167209761325,1.0001667554314704,0.05614196922118497,83.3111424451094,0.26954421879334944,0.9969095259395597,0.7371233187434614,-0.001953507582282176,0.00034327205563419966,0.39904579827077535,0.02983606716571449,0.12326173688189432,0.00030100167209761325,83.3111424451094,0.26954421879334944,25.740756555223754,0.10434055692536509,0,19.19354429924275,19
10,Y,872,0.12452524227580272,0.0002945772167124197,1.0000051707189999,0.023352582097864394,82.77384892528967,0.2754006907086861,0.9900002678678623,0.7559339916659441,-0.0012982581174431377,0.00035506496166449184,0.32074689861752503,0.025311994014762196,0.12452524227580272,0.0002945772167124197,82.77384892528967,0.2754006907086861,25.836904479391382,0.10547653603807512,0,28.86012635682596,19
10,Y,1783,0.12234771140088943,0.00028880962967523557,1.0001673092561292,0.05472359870394028,84.41546441563811,0.27683287352242303,0.9971082658584576,0.7363137392335235,-0.002217487335218952,0.0003397926524442825,0.39694936180488816,0.0297947982566939,0.12234771140088943,0.00028880962967523557,84.41546441563811,0.27683287352242303,25.88855427332503,0.10460638655441624,0,28.256947609395226,19
