Fill,4945
Date,May182016
Run,"[273591, 273591, 273591, 273591]"
InputDIPFile,/afs/cern.ch/user/c/capalmer/tempeos/cms/store/group/comm_luminosity/VdM/scanFill4945_18May16/compressed/beamData/vdm_1d273a0a-fa15-4115-b171-ddee49cea86a_cms_only_run273591.csv
ScanNames,"[u'X1', u'Y1', u'X2', u'Y2']"
ScanTimeWindows,"[[1463599591, 1463600573], [1463600861, 1463601942], [1463602069, 1463603051], [1463603264, 1463604250]]"
BetaStar,19.17
Angle,9999
Offset,"[0.0, 0.0, 0.0, 0.0]"
ParticleTypeB1,proton
ParticleTypeB2,proton
EnergyB1,6500
EnergyB2,6500
FilledBunchesB1,"[1, 41, 81, 121, 161, 201, 241, 281, 551, 591, 631, 671, 711, 751, 791, 831, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1225, 1265, 1305, 1345, 1385, 1425, 1465, 1505, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2173, 2213, 2253, 2293, 2654, 2694, 2734, 2774, 2814, 2854, 2894, 2934, 3004, 3044, 3084, 3124]"
FilledBunchesB2,"[1, 41, 81, 121, 161, 201, 241, 281, 331, 371, 411, 451, 491, 531, 571, 611, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1442, 1482, 1522, 1562, 1602, 1642, 1682, 1722, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774, 2814, 2854, 2894, 2934, 3064, 3104, 3144, 3184]"
CollidingBunches,"[1, 41, 81, 121, 161, 201, 241, 281, 872, 912, 952, 992, 1032, 1072, 1112, 1152, 1783, 1823, 1863, 1903, 1943, 1983, 2023, 2063, 2654, 2694, 2734, 2774, 2814, 2854, 2894, 2934]"
scan number,scan type,"scan points: number, tStart, tStop, relative displacement"
Scan_1
3,X2,20,1463602824.0,1463602853.0,0.344461
3,X2,21,1463602863.0,1463602892.0,0.393669
3,X2,22,1463602902.0,1463602931.0,0.442878
3,X2,23,1463602943.0,1463602971.0,0.492087
3,X2,24,1463602982.0,1463603012.0,0.541295
3,X2,25,1463603022.0,1463603051.0,0.590504
Scan_4
4,Y2,1,1463603264.0,1463603293.0,-0.590504
4,Y2,2,1463603303.0,1463603332.0,-0.541295
4,Y2,3,1463603344.0,1463603373.0,-0.492087
4,Y2,4,1463603383.0,1463603412.0,-0.442878
4,Y2,5,1463603424.0,1463603452.0,-0.393669
4,Y2,6,1463603463.0,1463603491.0,-0.344461
4,Y2,7,1463603503.0,1463603532.0,-0.295252
4,Y2,8,1463603543.0,1463603571.0,-0.246043
4,Y2,9,1463603583.0,1463603612.0,-0.196835
4,Y2,10,1463603622.0,1463603651.0,-0.147626
4,Y2,11,1463603663.0,1463603692.0,-0.098417
4,Y2,12,1463603702.0,1463603731.0,-0.049209
4,Y2,13,1463603742.0,1463603771.0,0.0
4,Y2,14,1463603782.0,1463603810.0,0.049209
4,Y2,15,1463603822.0,1463603851.0,0.098417
4,Y2,16,1463603862.0,1463603890.0,0.147626
4,Y2,17,1463603902.0,1463603931.0,0.196835
4,Y2,18,1463603941.0,1463603970.0,0.246043
4,Y2,19,1463603982.0,1463604011.0,0.295252
4,Y2,20,1463604021.0,1463604050.0,0.344461
4,Y2,21,1463604061.0,1463604090.0,0.393669
4,Y2,22,1463604101.0,1463604129.0,0.442878
4,Y2,23,1463604141.0,1463604170.0,0.492087
4,Y2,24,1463604182.0,1463604209.0,0.541295
4,Y2,25,1463604221.0,1463604250.0,0.590504
